Condition	y	rep	lab	geno	light
della_LP_M	-1.804644898	II	LP+M	della	LP
della_LP_M	-1.90373349	II	LP+M	della	LP
della_LP_M	-1.912599755	II	LP+M	della	LP
della_NC	-0.641901428	III	NC	della	NC
della_NC	-0.494648379	III	NC	della	NC
della_NC	-0.178784435	III	NC	della	NC
della_LP	0.423275556	III	LP	della	LP
della_LP	0.384599864	III	LP	della	LP
della_LP	0.423275556	III	LP	della	LP
della_NC_M	-2.529288819	III	NC+M	della	NC
della_NC_M	-2.115041557	III	NC+M	della	NC
della_NC_M	-2.115041557	III	NC+M	della	NC
della_LP_M	-1.804644898	III	LP+M	della	LP
della_LP_M	-1.602703494	III	LP+M	della	LP
della_LP_M	-1.611569759	III	LP+M	della	LP
jazq_NC	-1.111036354	I	NC	jazq	NC
jazq_NC	-1.451183802	I	NC	jazq	NC
jazq_NC	-1.6403259	I	NC	jazq	NC
jazq_LP	-1.085211809	I	LP	jazq	LP
jazq_LP	-1.098956902	I	LP	jazq	LP
jazq_LP	-0.923329362	I	LP	jazq	LP
jazq_NC_M	-2.572727292	I	NC+M	jazq	NC
jazq_NC_M	-2.479020409	I	NC+M	jazq	NC
jazq_NC_M	-2.561928054	I	NC+M	jazq	NC
jazq_LP_M	-2.180661338	I	LP+M	jazq	LP
jazq_LP_M	-2.012918562	I	LP+M	jazq	LP
jazq_LP_M	-1.893332247	I	LP+M	jazq	LP
jazq_NC	-1.400356926	II	NC	jazq	NC
jazq_NC	-1.164395369	II	NC	jazq	NC
jazq_NC	-0.955719577	II	NC	jazq	NC
jazq_LP	-2.049688287	II	LP	jazq	LP
jazq_LP	-1.530306155	II	LP	jazq	LP
jazq_LP	-1.679579419	II	LP	jazq	LP
jazq_NC_M	-2.648358466	II	NC+M	jazq	NC
jazq_NC_M	-2.65538317	II	NC+M	jazq	NC
jazq_NC_M	-3.003955272	II	NC+M	jazq	NC
jazq_LP_M	-2.293134512	II	LP+M	jazq	LP
jazq_LP_M	-2.589878938	II	LP+M	jazq	LP
jazq_LP_M	-2.294766768	II	LP+M	jazq	LP
jazq_NC	-1.077652734	III	NC	jazq	NC
jazq_NC	-1.620615154	III	NC	jazq	NC
jazq_NC	-1.408652423	III	NC	jazq	NC
jazq_LP	-1.447628295	III	LP	jazq	LP
jazq_LP	-1.164395369	III	LP	jazq	LP
jazq_LP	-0.654689581	III	LP	jazq	LP
jazq_NC_M	-1.665185163	III	NC+M	jazq	NC
jazq_NC_M	-1.674678368	III	NC+M	jazq	NC
jazq_NC_M	-2.135203647	III	NC+M	jazq	NC
jazq_LP_M	-1.457543183	III	LP+M	jazq	LP
jazq_LP_M	-2.283980205	III	LP+M	jazq	LP
jazq_LP_M	-1.893103006	III	LP+M	jazq	LP
bri1_NC	-0.41428633	I	NC	bri1	NC
bri1_NC	-0.542931823	I	NC	bri1	NC
bri1_NC	-0.358049027	I	NC	bri1	NC
bri1_LP	0.132079251	I	LP	bri1	LP
bri1_LP	0.136581789	I	LP	bri1	LP
bri1_LP	0.113906318	I	LP	bri1	LP
bri1_NC_M	-2.623838359	I	NC+M	bri1	NC
bri1_NC_M	-2.046929673	I	NC+M	bri1	NC
bri1_NC_M	-1.657662433	I	NC+M	bri1	NC
bri1_LP_M	-2.200343323	I	LP+M	bri1	LP
bri1_LP_M	-2.200343323	I	LP+M	bri1	LP
bri1_LP_M	-2.565067613	I	LP+M	bri1	LP
bri1_NC	-0.631501088	II	NC	bri1	NC
bri1_NC	-0.454981366	II	NC	bri1	NC
bri1_NC	-0.358380396	II	NC	bri1	NC
bri1_LP	0.189743557	II	LP	bri1	LP
bri1_LP	0.170169766	II	LP	bri1	LP
bri1_LP	0.248696809	II	LP	bri1	LP
bri1_NC_M	-2.798457212	II	NC+M	bri1	NC
bri1_NC_M	-2.037860615	II	NC+M	bri1	NC
bri1_NC_M	-1.519119	II	NC+M	bri1	NC
bri1_LP_M	-1.971051108	II	LP+M	bri1	LP
bri1_LP_M	-3.161230657	II	LP+M	bri1	LP
bri1_LP_M	-2.622862248	II	LP+M	bri1	LP
bri1_NC	-1.285930048	III	NC	bri1	NC
bri1_NC	-0.849161244	III	NC	bri1	NC
bri1_NC	-1.103230089	III	NC	bri1	NC
bri1_LP	0.079860767	III	LP	bri1	LP
bri1_LP	0.18849081	III	LP	bri1	LP
bri1_LP	0.308902808	III	LP	bri1	LP
bri1_NC_M	-1.459383276	III	NC+M	bri1	NC
bri1_NC_M	-1.157803398	III	NC+M	bri1	NC
bri1_NC_M	-2.140399995	III	NC+M	bri1	NC
bri1_LP_M	-1.829612146	III	LP+M	bri1	LP
bri1_LP_M	-2.288711292	III	LP+M	bri1	LP
bri1_LP_M	-2.157751027	III	LP+M	bri1	LP
sav_NC	-0.521083509	I	NC	sav	NC
sav_NC	-0.718779855	I	NC	sav	NC
sav_NC	-0.76682849	I	NC	sav	NC
sav_LP	0.629770269	I	LP	sav	LP
sav_LP	0.759397507	I	LP	sav	LP
sav_LP	0.675281859	I	LP	sav	LP
sav_NC_M	-2.57161284	I	NC+M	sav	NC
sav_NC_M	-1.910516153	I	NC+M	sav	NC
sav_NC_M	-2.489238553	I	NC+M	sav	NC
sav_LP_M	-0.24926336	I	LP+M	sav	LP
sav_LP_M	-0.024470101	I	LP+M	sav	LP
sav_LP_M	-0.33755685	I	LP+M	sav	LP
sav_NC	-0.481069549	II	NC	sav	NC
sav_NC	-1.096636952	II	NC	sav	NC
sav_NC	-0.79749328	II	NC	sav	NC
sav_LP	0.686921893	II	LP	sav	LP
sav_LP	0.560251723	II	LP	sav	LP
sav_LP	0.4604621	II	LP	sav	LP
sav_NC_M	-2.894592645	II	NC+M	sav	NC
sav_NC_M	-1.937206806	II	NC+M	sav	NC
sav_NC_M	-2.52305884	II	NC+M	sav	NC
sav_LP_M	-0.40753875	II	LP+M	sav	LP
sav_LP_M	-0.300304897	II	LP+M	sav	LP
sav_LP_M	-0.141710311	II	LP+M	sav	LP
sav_NC	-0.9152141	III	NC	sav	NC
sav_NC	-1.345064759	III	NC	sav	NC
sav_NC	-1.21842362	III	NC	sav	NC
sav_LP	0.686921893	III	LP	sav	LP
sav_LP	0.560251723	III	LP	sav	LP
sav_LP	0.4604621	III	LP	sav	LP
sav_NC_M	-2.203025487	III	NC+M	sav	NC
sav_NC_M	-2.228444929	III	NC+M	sav	NC
sav_NC_M	-2.243647948	III	NC+M	sav	NC
sav_LP_M	-2.136246103	III	LP+M	sav	LP
sav_LP_M	-1.405474805	III	LP+M	sav	LP
sav_LP_M	-1.888115235	III	LP+M	sav	LP
cry1cry2_NC	-0.584331752	I	NC	cry1cry2	NC
cry1cry2_NC	-0.373610755	I	NC	cry1cry2	NC
cry1cry2_NC	-0.159740984	I	NC	cry1cry2	NC
cry1cry2_LP	0.325827043	I	LP	cry1cry2	LP
cry1cry2_LP	0.082750729	I	LP	cry1cry2	LP
cry1cry2_LP	0.263368726	I	LP	cry1cry2	LP
cry1cry2_NC_M	-1.280754242	I	NC+M	cry1cry2	NC
cry1cry2_NC_M	-2.079517882	I	NC+M	cry1cry2	NC
cry1cry2_NC_M	-2.007270683	I	NC+M	cry1cry2	NC
cry1cry2_LP_M	-0.934268717	I	LP+M	cry1cry2	LP
cry1cry2_LP_M	-0.829510279	I	LP+M	cry1cry2	LP
cry1cry2_LP_M	-1.012897955	I	LP+M	cry1cry2	LP
cry1cry2_NC	-0.460551997	II	NC	cry1cry2	NC
cry1cry2_NC	-0.340139999	II	NC	cry1cry2	NC
cry1cry2_NC	-0.230404045	II	NC	cry1cry2	NC
cry1cry2_LP	0.54025184	II	LP	cry1cry2	LP
cry1cry2_LP	0.297468663	II	LP	cry1cry2	LP
cry1cry2_LP	0.379047792	II	LP	cry1cry2	LP
cry1cry2_NC_M	-1.32707715	II	NC+M	cry1cry2	NC
cry1cry2_NC_M	-1.590869735	II	NC+M	cry1cry2	NC
cry1cry2_NC_M	-1.696832294	II	NC+M	cry1cry2	NC
cry1cry2_LP_M	-1.039638114	II	LP+M	cry1cry2	LP
cry1cry2_LP_M	-1.175101612	II	LP+M	cry1cry2	LP
cry1cry2_LP_M	-1.041400175	II	LP+M	cry1cry2	LP
cry1cry2_NC	-0.460551997	III	NC	cry1cry2	NC
cry1cry2_NC	-0.782654093	III	NC	cry1cry2	NC
cry1cry2_NC	0.371655946	III	NC	cry1cry2	NC
cry1cry2_LP	0.841281836	III	LP	cry1cry2	LP
cry1cry2_LP	0.174347395	III	LP	cry1cry2	LP
cry1cry2_LP	0.680077788	III	LP	cry1cry2	LP
cry1cry2_NC_M	-1.614952135	III	NC+M	cry1cry2	NC
cry1cry2_NC_M	-1.440655767	III	NC+M	cry1cry2	NC
cry1cry2_NC_M	-0.988809744	III	NC+M	cry1cry2	NC
cry1cry2_LP_M	-0.738608119	III	LP+M	cry1cry2	LP
cry1cry2_LP_M	-0.83767709	III	LP+M	cry1cry2	LP
cry1cry2_LP_M	-1.34243017	III	LP+M	cry1cry2	LP
