geno	condition	lab	"total number
of leaves"
sav	NCM	sav_NCM	10
sav	NCM	sav_NCM	9
sav	NCM	sav_NCM	9
sav	NCM	sav_NCM	9
sav	NCM	sav_NCM	9
sav	NCM	sav_NCM	9
sav	NCM	sav_NCM	9
sav	NCM	sav_NCM	8
sav	NCM	sav_NCM	8
sav	NCM	sav_NCM	8
sav	NCM	sav_NCM	8
sav	NC	sav_NC	14
sav	NC	sav_NC	13
sav	NC	sav_NC	11
sav	NC	sav_NC	14
sav	NC	sav_NC	11
sav	NC	sav_NC	13
sav	NC	sav_NC	14
sav	NC	sav_NC	13
sav	NC	sav_NC	12
sav	NC	sav_NC	12
sav	NC	sav_NC	11
sav	NC	sav_NC	11
sav	NC	sav_NC	11
sav	NC	sav_NC	11
sav	NC	sav_NC	11
sav	NC	sav_NC	11
sav	NC	sav_NC	10
sav	NC	sav_NC	9
sav	NC	sav_NC	9
sav	NC	sav_NC	9
sav	NC	sav_NC	9
sav	NC	sav_NC	9
sav	NC	sav_NC	9
sav	NC	sav_NC	9
sav	NC	sav_NC	7
sav	LPM	sav_LPM	14
sav	LPM	sav_LPM	7
sav	LPM	sav_LPM	8
sav	LPM	sav_LPM	8
sav	LPM	sav_LPM	13
sav	LPM	sav_LPM	8
sav	LPM	sav_LPM	14
sav	LPM	sav_LPM	6
sav	LPM	sav_LPM	13
sav	LPM	sav_LPM	12
sav	LPM	sav_LPM	11
sav	LPM	sav_LPM	9
sav	LPM	sav_LPM	9
sav	LPM	sav_LPM	9
sav	LPM	sav_LPM	9
sav	LPM	sav_LPM	8
sav	LPM	sav_LPM	8
sav	LPM	sav_LPM	8
sav	LPM	sav_LPM	8
sav	LPM	sav_LPM	11
sav	LPM	sav_LPM	8
sav	LPM	sav_LPM	8
sav	LPM	sav_LPM	11
sav	LPM	sav_LPM	11
sav	LPM	sav_LPM	12
sav	LP	sav_LP	14
sav	LP	sav_LP	11
sav	LP	sav_LP	9
sav	LP	sav_LP	11
sav	LP	sav_LP	12
sav	LP	sav_LP	12
sav	LP	sav_LP	11
sav	LP	sav_LP	9
sav	LP	sav_LP	9
sav	LP	sav_LP	9
sav	LP	sav_LP	9
sav	LP	sav_LP	8
sav	LP	sav_LP	8
sav	LP	sav_LP	8
sav	LP	sav_LP	8
sav	LP	sav_LP	11
sav	LP	sav_LP	10
sav	LP	sav_LP	9
sav	LP	sav_LP	9
sav	LP	sav_LP	9
sav	LP	sav_LP	13
sav	LP	sav_LP	8
sav	LP	sav_LP	13
sav	LP	sav_LP	14
sav	LP	sav_LP	11
myc2	NCM	myc2_NCM	15
myc2	NCM	myc2_NCM	15
myc2	NCM	myc2_NCM	14
myc2	NCM	myc2_NCM	14
