lab	shootfreshweight	condition	rep	geno	lab1
NC	0.069	A	V	cry1cry2	cry1cry2_NC
NC	0.0381	A	V	cry1cry2	cry1cry2_NC
NC	0.0326	A	V	cry1cry2	cry1cry2_NC
NC	0.0116	A	V	cry1cry2	cry1cry2_NC
NC	0.0232	A	V	cry1cry2	cry1cry2_NC
NC	0.0334	A	V	cry1cry2	cry1cry2_NC
NC	0.038	A	V	cry1cry2	cry1cry2_NC
NC	0.0177	A	V	cry1cry2	cry1cry2_NC
NC	0.0197	A	V	cry1cry2	cry1cry2_NC
SC	0.0173	C	V	cry1cry2	cry1cry2_SC
SC	0.0094	C	V	cry1cry2	cry1cry2_SC
SC	0.0058	C	V	cry1cry2	cry1cry2_SC
SC	0.0053	C	V	cry1cry2	cry1cry2_SC
SC	0.005	C	V	cry1cry2	cry1cry2_SC
SC	0.0084	C	V	cry1cry2	cry1cry2_SC
SC	0.0038	C	V	cry1cry2	cry1cry2_SC
SC	0.0046	C	V	cry1cry2	cry1cry2_SC
SC	0.0038	C	V	cry1cry2	cry1cry2_SC
NC	0.0388	A	V	sid2	sid2_NC
NC	0.0318	A	V	sid2	sid2_NC
NC	0.0342	A	V	sid2	sid2_NC
NC	0.0287	A	V	sid2	sid2_NC
NC	0.0264	A	V	sid2	sid2_NC
NC	0.0311	A	V	sid2	sid2_NC
NC	0.0199	A	V	sid2	sid2_NC
NC	0.0308	A	V	sid2	sid2_NC
NC	0.0321	A	V	sid2	sid2_NC
SC	0.006	C	V	sid2	sid2_SC
SC	0.0031	C	V	sid2	sid2_SC
SC	0.0024	C	V	sid2	sid2_SC
SC	0.0059	C	V	sid2	sid2_SC
SC	0.0073	C	V	sid2	sid2_SC
SC	0.0055	C	V	sid2	sid2_SC
SC	0.009	C	V	sid2	sid2_SC
SC	0.0085	C	V	sid2	sid2_SC
SC	0.009	C	V	sid2	sid2_SC
NC_M	0.0834	B	V	col0	col0_NC_M
NC_M	0.0526	B	V	col0	col0_NC_M
NC_M	0.0216	B	V	col0	col0_NC_M
NC_M	0.0179	B	V	col0	col0_NC_M
NC_M	0.0298	B	V	col0	col0_NC_M
NC_M	0.0322	B	V	col0	col0_NC_M
NC_M	0.0485	B	V	col0	col0_NC_M
NC_M	0.0405	B	V	col0	col0_NC_M
NC_M	0.0165	B	V	col0	col0_NC_M
SC_M	0.023	D	V	col0	col0_SC_M
SC_M	0.0377	D	V	col0	col0_SC_M
SC_M	0.0316	D	V	col0	col0_SC_M
SC_M	0.039	D	V	col0	col0_SC_M
SC_M	0.0249	D	V	col0	col0_SC_M
