geno	condition	lab	leaf length	leaf width	y
sid2	NC	sid2_NC	0.1020 	0.1040 	0.980769231
sid2	NC	sid2_NC	0.1000 	0.0760 	1.315789474
sid2	NC	sid2_NC	0.0850 	0.1060 	0.801886792
sid2	LPM	sid2_LPM	1.162	0.8230 	1.411907655
sid2	LPM	sid2_LPM	1.11	0.8070 	1.375464684
sid2	LPM	sid2_LPM	1.038	0.8610 	1.205574913
sid2	LPM	sid2_LPM	0.9990 	0.6850 	1.458394161
sid2	LPM	sid2_LPM	0.9760 	0.7060 	1.382436261
sid2	LPM	sid2_LPM	0.9310 	0.8090 	1.150803461
sid2	LPM	sid2_LPM	0.9070 	0.5220 	1.737547893
sid2	LPM	sid2_LPM	0.8780 	0.5880 	1.493197279
sid2	LPM	sid2_LPM	0.8760 	0.6670 	1.313343328
sid2	LPM	sid2_LPM	0.8730 	0.8080 	1.080445545
sid2	LPM	sid2_LPM	0.8570 	0.6640 	1.290662651
sid2	LPM	sid2_LPM	0.8550 	0.4230 	2.021276596
sid2	LPM	sid2_LPM	0.8530 	0.5650 	1.509734513
sid2	LPM	sid2_LPM	0.8480 	0.5000 	1.696
sid2	LPM	sid2_LPM	0.8480 	0.7670 	1.105606258
sid2	LPM	sid2_LPM	0.8480 	0.5090 	1.666011788
sid2	LPM	sid2_LPM	0.8220 	0.7580 	1.084432718
sid2	LPM	sid2_LPM	0.8100 	0.6670 	1.214392804
sid2	LPM	sid2_LPM	0.8090 	0.5810 	1.39242685
sid2	LPM	sid2_LPM	0.8060 	0.5980 	1.347826087
sid2	LPM	sid2_LPM	0.7970 	0.4920 	1.619918699
sid2	LPM	sid2_LPM	0.7870 	0.7500 	1.049333333
sid2	LPM	sid2_LPM	0.7770 	0.6770 	1.147710487
sid2	LPM	sid2_LPM	0.7760 	0.5560 	1.395683453
sid2	LPM	sid2_LPM	0.7570 	0.6080 	1.245065789
sid2	LPM	sid2_LPM	0.7560 	0.5550 	1.362162162
sid2	LPM	sid2_LPM	0.7500 	0.5210 	1.439539347
sid2	LPM	sid2_LPM	0.7460 	0.6840 	1.090643275
sid2	LPM	sid2_LPM	0.7310 	0.6100 	1.198360656
sid2	LPM	sid2_LPM	0.7310 	0.6100 	1.198360656
sid2	LPM	sid2_LPM	0.7240 	0.4140 	1.748792271
sid2	LPM	sid2_LPM	0.7140 	0.5130 	1.391812865
sid2	LPM	sid2_LPM	0.7090 	0.4640 	1.528017241
sid2	LPM	sid2_LPM	0.7060 	0.5430 	1.300184162
sid2	LPM	sid2_LPM	0.7000 	0.7040 	0.994318182
sid2	LPM	sid2_LPM	0.6970 	0.5640 	1.235815603
sid2	LPM	sid2_LPM	0.6930 	0.5340 	1.297752809
sid2	LPM	sid2_LPM	0.6870 	0.6260 	1.097444089
sid2	LPM	sid2_LPM	0.6820 	0.7320 	0.931693989
sid2	LPM	sid2_LPM	0.6810 	0.6310 	1.079239303
sid2	LPM	sid2_LPM	0.6500 	0.5410 	1.201478743
sid2	LPM	sid2_LPM	0.6500 	0.5600 	1.160714286
sid2	LPM	sid2_LPM	0.6490 	0.6130 	1.058727569
sid2	LPM	sid2_LPM	0.6490 	0.6130 	1.058727569
sid2	LPM	sid2_LPM	0.6460 	0.6520 	0.990797546
sid2	LPM	sid2_LPM	0.6440 	0.5190 	1.240847784
sid2	LPM	sid2_LPM	0.6310 	0.6800 	0.927941176
sid2	LPM	sid2_LPM	0.6280 	0.5720 	1.097902098
sid2	LPM	sid2_LPM	0.6270 	0.6930 	0.904761905
sid2	LPM	sid2_LPM	0.6270 	0.6930 	0.904761905
sid2	LPM	sid2_LPM	0.6220 	0.5590 	1.112701252
sid2	LPM	sid2_LPM	0.6220 	0.5480 	1.135036496
sid2	LPM	sid2_LPM	0.6200 	0.5030 	1.232604374
sid2	LPM	sid2_LPM	0.6140 	0.9160 	0.670305677
sid2	LPM	sid2_LPM	0.6090 	0.3430 	1.775510204
sid2	LPM	sid2_LPM	0.5990 	0.5440 	1.101102941
sid2	LPM	sid2_LPM	0.5930 	0.5020 	1.1812749
sid2	LPM	sid2_LPM	0.5870 	0.5020 	1.169322709
sid2	LPM	sid2_LPM	0.5840 	0.4700 	1.242553191
sid2	LPM	sid2_LPM	0.5820 	0.3930 	1.480916031
sid2	LPM	sid2_LPM	0.5770 	0.4040 	1.428217822
sid2	LPM	sid2_LPM	0.5710 	0.6030 	0.946932007
sid2	LPM	sid2_LPM	0.5680 	0.4150 	1.368674699
sid2	LPM	sid2_LPM	0.5670 	0.3370 	1.682492582
sid2	LPM	sid2_LPM	0.5660 	0.5320 	1.063909774
