lab	canopysize	rep	geno	light	lab1
LP+M	2.103	IV	col0	LP	LP+M_col0
LP+M	2.407	IV	col0	LP	LP+M_col0
LP+M	2.078	IV	col0	LP	LP+M_col0
LP+M	2.311	IV	col0	LP	LP+M_col0
LP+M	1.816	IV	col0	LP	LP+M_col0
NC	3.621	IV	dde2	NC	NC_dde2
NC	1.236	IV	dde2	NC	NC_dde2
NC	3.745	IV	dde2	NC	NC_dde2
NC	2.016	IV	dde2	NC	NC_dde2
NC	3.11	IV	dde2	NC	NC_dde2
NC	1.606	IV	dde2	NC	NC_dde2
NC	2.248	IV	dde2	NC	NC_dde2
NC	2.419	IV	dde2	NC	NC_dde2
NC	1.664	IV	dde2	NC	NC_dde2
NC+M	3.109	IV	dde2	NC	NC+M_dde2
NC+M	1.182	IV	dde2	NC	NC+M_dde2
NC+M	1.665	IV	dde2	NC	NC+M_dde2
NC+M	4.21	IV	dde2	NC	NC+M_dde2
NC+M	1.613	IV	dde2	NC	NC+M_dde2
NC+M	1.669	IV	dde2	NC	NC+M_dde2
NC+M	2.344	IV	dde2	NC	NC+M_dde2
NC+M	1.302	IV	dde2	NC	NC+M_dde2
NC+M	1.966	IV	dde2	NC	NC+M_dde2
LP	1.389	IV	dde2	LP	LP_dde2
LP	1.461	IV	dde2	LP	LP_dde2
LP	1.206	IV	dde2	LP	LP_dde2
LP	1.466	IV	dde2	LP	LP_dde2
LP	1.033	IV	dde2	LP	LP_dde2
LP	0.83	IV	dde2	LP	LP_dde2
LP	1.842	IV	dde2	LP	LP_dde2
LP	1.517	IV	dde2	LP	LP_dde2
LP	1.056	IV	dde2	LP	LP_dde2
LP+M	1.204	IV	dde2	LP	LP+M_dde2
LP+M	1.663	IV	dde2	LP	LP+M_dde2
LP+M	0.908	IV	dde2	LP	LP+M_dde2
LP+M	1.549	IV	dde2	LP	LP+M_dde2
LP+M	1.785	IV	dde2	LP	LP+M_dde2
LP+M	0.858	IV	dde2	LP	LP+M_dde2
LP+M	1.156	IV	dde2	LP	LP+M_dde2
LP+M	0.741	IV	dde2	LP	LP+M_dde2
LP+M	1.259	IV	dde2	LP	LP+M_dde2
NC	1.796	IV	bri1	NC	NC_bri1
NC	1.736	IV	bri1	NC	NC_bri1
NC	1.204	IV	bri1	NC	NC_bri1
NC	1.926	IV	bri1	NC	NC_bri1
NC	1.433	IV	bri1	NC	NC_bri1
NC	1.667	IV	bri1	NC	NC_bri1
NC	2.932	IV	bri1	NC	NC_bri1
NC	2.209	IV	bri1	NC	NC_bri1
NC	1.651	IV	bri1	NC	NC_bri1
NC+M	1.893	IV	bri1	NC	NC+M_bri1
NC+M	1.587	IV	bri1	NC	NC+M_bri1
NC+M	1.573	IV	bri1	NC	NC+M_bri1
NC+M	2.06	IV	bri1	NC	NC+M_bri1
NC+M	1.447	IV	bri1	NC	NC+M_bri1
NC+M	2.451	IV	bri1	NC	NC+M_bri1
NC+M	1.523	IV	bri1	NC	NC+M_bri1
NC+M	1.778	IV	bri1	NC	NC+M_bri1
NC+M	1.829	IV	bri1	NC	NC+M_bri1
LP	0.407	IV	bri1	LP	LP_bri1
LP	0.495	IV	bri1	LP	LP_bri1
LP	0.454	IV	bri1	LP	LP_bri1
LP	0.47	IV	bri1	LP	LP_bri1
LP	0.426	IV	bri1	LP	LP_bri1
LP	0.34	IV	bri1	LP	LP_bri1
LP	0.756	IV	bri1	LP	LP_bri1
LP	0.566	IV	bri1	LP	LP_bri1
LP	0.609	IV	bri1	LP	LP_bri1
LP+M	0.545	IV	bri1	LP	LP+M_bri1
LP+M	0.543	IV	bri1	LP	LP+M_bri1
LP+M	0.328	IV	bri1	LP	LP+M_bri1
LP+M	0.456	IV	bri1	LP	LP+M_bri1
LP+M	0.362	IV	bri1	LP	LP+M_bri1
LP+M	0.672	IV	bri1	LP	LP+M_bri1
LP+M	0.375	IV	bri1	LP	LP+M_bri1
LP+M	0.354	IV	bri1	LP	LP+M_bri1
LP+M	0.321	IV	bri1	LP	LP+M_bri1
NC	2.635	IV	sav	NC	NC_sav
NC	2.585	IV	sav	NC	NC_sav
NC	1.661	IV	sav	NC	NC_sav
