NC_SF_M5	NC_SF_R7	LP_CAS_R2	LP_CAS_M4	NC_CAS_R9	NC_SF_M3	LP_SF_M9	LP_CAS_R4	NC_CAS_R3	NC_CAS_R5	LP_Heat_1	NC_SF_M2	LP_SF_R8	LP_SF_M1	NC_SF_M7	NC_CAS_R8	LP_SF_M3	NC_SF_M1	LP_SF_M8	NC_SF_M4	NC_SF_R1	LP_SF_R4	NC_CAS_M3	NC_CAS_M8	NC_SF_R6	LP_SF_M7	NC_SF_M9	LP_SF_R2	LP_SF_M4	LP_CAS_R7	NC_SF_M8	NC_CAS_M2	NC_SF_R2	NC_SF_R4	LP_Free_2	LP_CAS_M2	LP_CAS_M1	NC_CAS_R6	NC_CAS_R7	LP_CAS_R3	LP_SF_R9	LP_CAS_R8	NC_CAS_M4	LP_CAS_M3	LP_CAS_R1	LP_SF_R5	NC_CAS_R2	NC_CAS_R4	NC_SF_M6	NC_CAS_M1	NC_CAS_M9	NC_SF_R9	LP_SF_R1	NC_CAS_M6	NC_SF_R8	LP_CAS_M9	LP_CAS_M5	LP_CAS_R5	LP_SF_R6	NC_CAS_M7	LP_SF_M2	LP_SF_R7	LP_SF_M6	LP_CAS_M6	NC_SF_R5	NC_CAS_R1	LP_Free_1	LP_CAS_R6	NC_CAS_M5	LP_CAS_R9	LP_CAS_M8	NC_SF_R3	LP_CAS_M7	LP_Heat_2	NC_Free_2	NC_Heat_2	NC_Free_3	NC_Heat_3	LP_SF_M5	NC_Heat_1	LP_SF_R3	Free_Leaf_1	NC_Free_1	Free_Leaf_2	LP_Free_3	LP_Heat_3	Free_Leaf_3	H2O_2	H2O_3	H2O_1
Zotu5545	0	1	1	1	1	1	0	0	1	4	0	0	0	0	0	0	0	1	0	0	1	5	0	0	13	0	0	5	0	1	0	0	2	12	0	0	0	1	0	3	4	1	0	0	1	6	0	3	0	0	0	3	1	0	2	0	0	0	8	0	0	2	0	0	2	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu4092	1	0	0	2	0	5	0	0	0	0	0	4	0	1	0	1	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	1	0	0	2	1	0	0	0	0	2	2	2	0	0	3	0	2	0	0	0	1	1	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3901	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	5	0	0	0	0	0	0	0	6	0	0	0	5	9	0	0	0	0	0	3	5	0	0	0	0	0	8	3	0	0	3	0	0	5	1	0	2	0	0	0	4	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu6516	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	4	0	0	0	4	3	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	3	0	0	0	11	0	0	0	0	0	0	0	0	0	11	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2846	0	0	4	12	0	0	0	1	2	21	0	0	0	0	0	1	0	0	0	0	0	0	7	5	0	0	0	0	0	2	0	4	0	0	0	11	5	17	3	3	0	2	8	5	1	0	1	7	0	8	6	0	0	4	0	10	8	1	0	4	0	0	0	13	0	1	0	0	4	0	15	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3366	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	4	0	0	0	0	0	1	0	10	0	0	0	9	6	1	0	0	0	0	11	6	0	0	0	1	0	26	1	0	0	2	0	6	9	0	0	2	0	0	0	6	0	0	0	0	0	5	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4918	1	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	3	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu5865	0	0	0	4	0	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	6	2	0	0	0	0	0	0	0	8	0	0	0	9	4	0	0	1	0	0	10	5	0	0	0	1	0	3	3	0	0	1	0	6	3	0	0	0	0	0	0	4	0	0	0	0	5	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4200	0	0	0	0	1	2	0	0	1	0	0	3	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	5	0	0	0	6	4	0	0	0	0	0	2	1	0	1	0	2	0	3	0	0	0	2	0	3	3	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3630	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	4	0	0	0	7	5	0	0	0	0	0	13	3	2	0	0	0	0	7	2	0	0	3	0	8	7	0	0	2	0	0	0	4	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3323	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	4	0	0	0	0	0	0	0	10	0	0	0	18	13	1	0	0	0	1	14	11	0	0	1	0	0	10	1	0	0	5	0	10	11	1	0	4	0	0	0	5	0	1	0	0	5	2	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu82	1	2	0	0	0	3	0	0	0	0	0	12	0	1	0	0	3	6	3	4	0	0	0	0	2	1	5	1	1	0	4	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu5320	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	2	14	0	0	5	0	0	4	0	0	0	0	2	15	0	0	0	0	0	0	1	0	0	0	0	17	0	0	0	0	0	0	8	0	0	0	0	0	8	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Zotu2376	0	0	32	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5191	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	2	0	0	0	9	2	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	5	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3650	1	3	0	0	1	4	0	1	0	1	0	14	2	6	1	1	5	11	1	1	2	1	1	2	3	0	3	1	1	0	4	0	2	6	0	4	3	1	1	0	5	2	0	0	0	2	1	2	1	1	0	2	1	2	1	0	1	1	1	1	5	2	0	0	6	1	0	1	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1298	4	0	0	1	0	1	0	0	1	11	0	7	0	0	0	0	0	3	0	3	0	1	9	1	0	2	3	0	0	0	2	4	0	0	0	3	0	8	2	3	0	0	3	1	0	1	2	10	2	9	0	0	0	0	0	3	1	1	0	1	0	0	0	5	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5788	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	3	3	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1758	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	14	0	0	0	0	0	0	0	5	0	0	0	19	25	0	0	0	0	1	18	17	0	0	0	3	0	11	11	0	0	9	0	22	19	0	0	9	0	0	0	13	0	0	0	0	6	1	7	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4743	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0	0	4	0	0	0	9	8	0	0	0	0	0	3	7	0	0	0	0	0	4	3	0	0	4	0	1	6	0	0	1	0	0	0	6	0	0	0	0	3	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu663	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2284	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	14	0	0	0	0	0	0	0	3	0	0	0	11	15	0	0	0	0	0	10	6	0	0	0	0	0	10	6	0	0	4	0	10	15	0	0	8	0	0	0	12	0	0	0	0	5	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2423	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0	0	16	0	0	0	22	35	0	0	0	0	4	15	15	1	0	0	0	0	19	6	0	0	9	0	9	20	0	0	12	0	0	0	17	0	0	0	0	15	0	9	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1971	0	0	13	5	1	0	0	10	0	0	0	0	0	1	0	2	1	0	0	0	0	0	4	3	0	0	0	0	0	22	0	3	0	1	0	1	1	0	2	6	0	14	1	2	20	0	1	1	0	8	2	0	0	6	0	0	2	17	0	0	1	0	0	4	0	0	0	10	2	21	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2159	1	0	0	12	0	1	0	0	0	0	0	2	0	2	0	0	1	0	0	1	0	0	14	8	0	0	0	0	0	0	0	12	0	0	0	14	13	0	0	0	0	0	5	9	0	0	0	0	2	12	5	0	0	3	1	5	8	0	0	8	2	0	0	15	0	0	0	0	7	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5995	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	5	3	0	0	0	0	0	4	2	0	0	0	0	0	2	0	0	0	2	0	4	5	0	0	2	0	0	0	1	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu667	1	0	0	1	1	1	11	0	1	5	0	1	1	0	0	0	0	0	10	1	0	0	0	0	1	6	0	0	0	0	1	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	1	5	1	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5901	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	2	3	0	0	1	0	0	2	2	0	0	0	0	0	3	3	0	0	2	0	1	2	0	0	3	0	0	0	2	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu6536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4168	0	0	1	0	20	0	0	2	1	24	0	0	0	0	0	13	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	13	1	0	0	0	0	6	1	5	16	0	0	0	0	1	2	0	1	1	1	0	0	0	0	0	0	1	4	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1236	0	7	0	0	0	0	0	0	0	0	0	0	0	109	0	0	105	0	0	0	0	0	0	0	3	1	0	3	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	15	0	0	5	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Zotu327	0	0	0	0	4	1	0	0	0	1	0	5	1	1	1	0	1	1	1	3	0	1	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	2	0	0	0	1	0	0	0	0	0	1	1	3	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu5006	0	0	2	0	0	0	0	6	2	0	0	0	1	0	0	1	0	0	0	0	1	6	0	1	9	0	0	3	0	6	0	0	2	19	0	2	0	2	0	1	1	9	0	0	2	4	3	0	0	0	0	0	7	0	1	0	0	9	0	0	0	2	0	0	8	0	0	2	0	4	0	2	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Zotu2361	2	0	0	1	0	5	2	0	0	0	0	10	2	4	7	0	4	9	4	3	0	3	0	0	0	2	4	3	0	1	7	1	1	1	0	0	0	0	0	0	5	0	0	0	0	3	0	0	8	1	1	2	1	0	3	0	0	0	0	1	11	1	6	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Zotu5433	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	4	0	0	0	4	5	0	0	0	0	0	7	0	0	0	0	0	0	6	1	0	0	2	0	3	4	0	0	7	0	0	0	7	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu6756	0	0	0	0	19	1	0	0	0	1	0	0	0	0	0	18	0	0	0	0	0	0	1	1	0	0	0	0	0	4	0	1	0	0	0	0	0	1	14	2	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2897	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2732	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	2	0	8	0	0	0	9	17	0	0	0	0	0	9	9	0	0	0	0	0	7	5	0	0	4	0	7	13	0	0	5	0	0	0	8	0	0	0	0	5	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu37	0	0	0	0	0	1	0	0	0	1	0	1	0	2	1	0	1	2	0	0	0	2	0	0	2	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	1	1	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Zotu3776	0	0	1	4	0	2	0	0	0	1	0	3	1	0	0	1	0	1	1	0	1	0	7	3	2	0	0	0	0	0	0	4	0	2	0	4	5	1	0	1	0	0	2	5	1	2	1	2	0	6	2	0	0	2	0	1	1	0	3	0	0	0	0	1	1	2	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu6301	0	0	0	5	0	0	1	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	5	1	1	0	1	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	4	1	1	0	2	1	1	6	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3840	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	1	0	0	3	1	0	0	0	0	0	3	1	0	0	3	0	4	2	0	0	3	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3089	0	7	0	0	0	3	0	0	0	0	0	14	8	1	4	0	1	7	0	1	1	0	0	0	3	2	15	1	9	0	7	0	3	4	0	0	0	0	0	0	9	0	0	0	0	0	0	0	2	0	0	4	1	0	2	0	0	0	2	0	2	4	8	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0
Zotu1021	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2684	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	1	0	8	0	0	0	10	7	0	0	0	0	0	15	7	0	0	0	0	0	12	2	0	0	8	0	8	11	0	0	5	0	0	0	9	0	0	0	0	13	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu282	1	0	0	0	0	2	1	0	0	0	0	2	3	3	0	0	9	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1112	1	0	0	0	0	0	0	0	0	0	0	5	1	1	3	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	4	0	3	4	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Zotu3821	0	1	0	0	0	4	2	0	0	0	0	3	2	4	1	0	4	3	4	2	1	0	1	0	5	0	0	0	0	0	1	0	1	2	0	0	1	0	0	0	3	0	0	1	0	5	0	0	0	0	0	0	1	0	0	0	1	0	0	0	5	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4604	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	1	0	1	0	5	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3481	3	0	0	0	0	1	0	0	0	0	0	3	1	2	2	0	2	2	1	3	0	1	0	0	3	1	2	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Zotu2124	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	17	10	0	0	0	0	0	1	0	15	0	0	0	22	20	0	0	1	0	0	19	13	0	0	0	0	0	11	3	0	0	6	0	5	10	0	0	13	0	0	0	5	0	0	0	0	9	1	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4944	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3430	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	4	0	1	0	0	0	0	1	4	0	1	0	0	0	3	0	2	0	0	0	10	9	0	0	0	1	6	0	5	1	0	1	0	0	2	3	0	0	2	0	3	13	0	0	2	0	0	0	2	0	0	0	0	2	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5748	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2819	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	0	0	0	0	0	1	0	4	0	0	0	8	9	0	0	0	0	1	10	6	2	0	0	0	0	5	6	0	0	4	0	4	1	0	0	4	0	0	0	4	0	0	0	1	4	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	1	0	5	0	0	0	7	6	0	0	1	0	0	3	6	2	0	0	0	0	2	0	0	0	4	0	2	3	0	0	2	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4612	3	0	0	0	0	0	2	0	0	0	0	3	1	0	0	0	0	0	1	5	2	3	0	2	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4497	0	0	0	0	0	1	2	0	0	0	0	2	0	7	0	0	9	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4074	0	0	0	0	4	0	0	0	1	6	0	0	0	0	0	7	0	0	0	0	1	0	0	0	6	0	0	0	0	3	0	0	0	1	0	0	1	3	11	0	2	4	0	0	0	1	4	3	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu614	0	0	0	5	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	1	0	8	0	0	0	8	11	0	0	1	0	1	12	4	2	0	0	0	0	11	9	0	0	9	0	5	11	2	0	11	0	0	0	7	0	0	0	0	9	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5230	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	5	0	0	0	4	5	0	0	0	0	0	1	1	1	0	0	0	0	1	2	0	0	3	0	1	2	1	0	0	0	0	0	3	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu963	1	0	1	0	0	0	0	0	0	2	0	4	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2465	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	5	0	0	0	0	0	0	0	4	0	0	0	19	11	0	0	0	0	0	10	15	0	0	0	0	0	9	3	0	0	10	0	8	9	0	0	6	0	0	0	4	0	0	0	0	4	1	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4557	0	1	0	0	0	3	0	0	0	0	0	2	0	8	0	0	10	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2964	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	4	0	0	0	9	5	0	0	0	0	0	2	0	0	0	0	0	0	2	4	0	0	5	0	1	9	0	0	4	0	0	0	5	0	0	0	0	7	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Zotu2517	0	0	0	11	3	0	0	8	1	4	0	0	0	0	0	6	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	1	0	0	1	2	2	0	0	4	0	0	4	0	0	0	0	0	11	12	0	3	0	0	0	10	0	0	0	12	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3586	2	3	2	0	14	1	0	0	5	8	0	1	2	0	0	17	0	0	0	0	1	1	0	1	3	0	0	1	0	0	0	0	3	8	0	0	1	9	9	3	2	0	0	0	2	3	3	4	0	0	0	2	3	0	1	0	0	0	1	0	0	1	0	0	0	4	0	0	0	4	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1775	9	0	0	0	3	0	0	0	0	0	0	0	3	1	5	4	0	0	0	2	0	6	1	6	36	0	4	5	10	0	7	4	0	38	0	2	6	0	3	0	6	0	6	9	0	3	0	0	6	0	5	0	3	0	0	0	0	4	2	7	0	2	8	0	16	0	0	2	0	0	2	0	1	0	0	0	0	1	3	0	2	0	0	0	0	0	0	0	0	0
Zotu1813	13	2	0	0	0	7	0	0	0	1	0	11	0	18	22	0	20	12	1	11	0	0	0	0	1	0	18	0	0	1	29	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	15	0	0	3	0	0	2	0	0	0	0	1	22	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4584	0	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	10	0	0	8	0	0	0	0	2	23	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	5	3	0	2	0	0	0	7	0	0	3	0	0	8	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
