NC_SF_M5	NC_SF_R7	LP_CAS_R2	LP_CAS_M4	NC_CAS_R9	NC_SF_M3	LP_SF_M9	LP_CAS_R4	NC_CAS_R3	NC_CAS_R5	LP_Heat_1	NC_SF_M2	LP_SF_R8	LP_SF_M1	NC_SF_M7	NC_CAS_R8	LP_SF_M3	NC_SF_M1	LP_SF_M8	NC_SF_M4	NC_SF_R1	LP_SF_R4	NC_CAS_M3	NC_CAS_M8	NC_SF_R6	LP_SF_M7	NC_SF_M9	LP_SF_R2	LP_SF_M4	LP_CAS_R7	NC_SF_M8	NC_CAS_M2	NC_SF_R2	NC_SF_R4	LP_Free_2	LP_CAS_M2	LP_CAS_M1	NC_CAS_R6	NC_CAS_R7	LP_CAS_R3	LP_SF_R9	LP_CAS_R8	NC_CAS_M4	LP_CAS_M3	LP_CAS_R1	LP_SF_R5	NC_CAS_R2	NC_CAS_R4	NC_SF_M6	NC_CAS_M1	NC_CAS_M9	NC_SF_R9	LP_SF_R1	NC_CAS_M6	NC_SF_R8	LP_CAS_M9	LP_CAS_M5	LP_CAS_R5	LP_SF_R6	NC_CAS_M7	LP_SF_M2	LP_SF_R7	LP_SF_M6	LP_CAS_M6	NC_SF_R5	NC_CAS_R1	LP_Free_1	LP_CAS_R6	NC_CAS_M5	LP_CAS_R9	LP_CAS_M8	NC_SF_R3	LP_CAS_M7	LP_Heat_2	NC_Free_2	NC_Heat_2	NC_Free_3	NC_Heat_3	LP_SF_M5	NC_Heat_1	LP_SF_R3	Free_Leaf_1	NC_Free_1	Free_Leaf_2	LP_Free_3	LP_Heat_3	Free_Leaf_3	H2O_2	H2O_3	H2O_1
Zotu92	266	265	128	409	515	471	385	152	146	839	2	860	290	267	394	508	339	681	334	212	161	224	389	183	817	311	535	233	257	281	467	312	162	1026	0	392	441	501	349	142	411	276	739	343	136	305	102	745	258	355	113	286	230	376	168	311	486	191	183	153	319	239	324	384	464	124	1	169	341	261	229	197	233	0	0	0	0	6	218	0	102	0	0	1	1	0	0	0	0	0
Zotu10	189	204	303	422	3764	1378	956	458	1553	5879	1	2491	428	274	186	3755	385	1956	902	188	107	182	2639	194	491	800	308	380	239	352	251	1934	131	646	1	207	176	3320	2472	340	532	303	1088	124	390	229	1368	5164	260	2564	130	249	339	641	126	211	507	467	169	193	302	327	236	336	248	1548	0	505	560	354	129	110	134	0	1	0	1	4	191	0	198	2	2	4	0	1	0	0	0	0
Zotu509	0	1	89	2	59	0	0	97	41	53	0	0	0	1	0	58	1	0	0	2	0	0	21	18	0	0	0	0	0	64	0	12	0	1	0	6	1	35	47	124	1	97	3	4	82	1	54	46	0	20	9	1	0	0	1	0	2	93	1	13	0	0	0	1	3	34	0	113	1	111	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu64	0	545	0	0	0	112	523	0	2	0	0	221	360	1	278	0	1	181	509	0	94	641	0	0	393	380	423	310	1134	0	361	0	83	468	0	0	0	0	0	1	420	0	0	0	1	887	0	0	2	0	0	636	288	0	379	0	0	0	574	0	4	308	1160	1	215	0	0	0	0	0	0	112	0	0	0	0	0	0	858	0	212	0	0	0	0	0	0	0	0	0
Zotu1318	77	7	1	0	0	38	3	0	0	0	0	67	0	74	24	0	98	53	3	69	10	10	7	5	8	4	31	31	6	1	9	9	8	15	0	3	4	0	0	0	6	0	13	6	1	17	0	0	87	4	1	14	9	8	4	4	4	0	6	2	61	1	17	0	9	0	0	0	6	0	3	7	1	0	0	0	0	0	14	0	15	0	0	0	0	0	0	0	0	0
Zotu459	0	0	2	274	3	0	0	2	2	2	0	0	0	0	0	1	0	0	0	0	0	0	357	243	0	0	0	0	0	7	1	250	0	0	0	369	356	2	0	3	0	15	296	261	5	0	0	3	0	322	141	0	0	193	0	238	401	4	0	184	1	0	0	307	0	1	0	5	142	14	172	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu112	84	60	150	169	128	59	82	127	128	192	0	82	35	10	87	156	19	79	83	68	37	8	197	184	98	68	110	6	78	233	104	140	36	109	0	142	128	103	101	190	25	230	415	97	162	7	105	153	76	172	137	54	4	225	38	101	124	169	5	147	7	12	51	106	51	106	0	159	213	283	74	60	55	0	0	0	0	1	58	0	3	0	0	0	0	0	1	0	0	0
Zotu290	45	36	0	0	0	156	60	0	0	0	0	258	14	693	22	0	861	252	58	62	63	34	0	0	203	48	28	32	53	0	39	0	43	301	0	0	0	0	0	0	10	0	0	0	0	29	0	0	55	0	0	30	39	0	5	0	1	0	20	0	751	10	49	0	139	0	0	0	0	0	0	65	0	0	0	0	0	0	38	0	17	0	0	0	0	0	0	0	0	0
Zotu973	16	3	1	0	4	13	3	21	18	17	0	28	7	11	1	10	7	24	1	6	4	4	10	4	18	0	1	6	6	11	2	6	6	16	0	4	5	15	8	5	4	4	7	5	6	2	9	21	7	11	1	2	5	2	0	2	5	27	1	6	9	4	6	6	8	7	0	30	3	16	3	3	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
Zotu286	141	23	1	0	3	157	63	1	1	3	0	247	37	100	76	2	132	189	61	120	12	27	0	0	60	40	131	41	67	0	90	0	21	85	0	0	1	0	1	0	53	0	2	1	1	33	0	4	137	3	0	29	45	0	21	0	1	0	29	0	108	46	51	0	49	1	0	0	0	2	0	22	0	0	0	0	0	0	35	0	18	0	0	0	0	0	0	0	0	0
Zotu1	703	355	1807	6450	1451	2369	283	1802	1443	2313	0	4208	239	1141	355	1409	1404	3660	231	590	189	229	6241	5394	674	190	568	300	552	5198	468	4909	192	783	0	8530	8927	1225	1011	2028	313	4691	8980	7038	2340	373	1107	1903	765	6460	3196	476	346	4444	228	5248	7857	2045	234	4205	1313	184	592	5537	424	1182	0	2085	4547	4705	3787	247	4001	1	0	0	0	0	361	0	171	0	0	0	0	2	0	0	0	0
Zotu16	840	1198	57	21	141	1672	1577	41	20	290	0	2850	2329	1259	502	144	1649	2261	1519	710	1540	2481	47	19	4331	1303	764	2386	1076	149	626	29	1635	4933	0	35	33	179	117	49	2876	155	157	22	64	3177	13	268	1019	37	14	1363	2407	76	769	48	26	57	2101	21	1383	1812	1102	24	2220	19	0	55	70	138	29	2079	27	0	0	0	2	24	762	0	1160	0	0	1	0	0	0	0	0	0
Zotu3295	0	11	6	0	23	1	0	6	10	28	0	2	8	1	1	8	0	0	0	0	10	7	2	1	12	0	0	3	0	17	0	0	11	22	0	1	0	13	7	16	9	17	1	0	10	8	6	11	0	0	0	9	2	0	5	1	2	23	4	1	0	7	0	0	8	6	0	23	0	19	0	7	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Zotu42	1213	31	4	5	1	2574	22	0	0	0	1198	4093	83	1865	31	0	2288	3261	23	1143	434	695	6	6	717	25	51	780	775	2	43	11	408	890	1756	6	15	3	0	0	104	3	16	6	1	938	1	1	1355	6	5	35	786	3	15	7	4	1	593	3	2031	86	763	2	331	0	2298	0	3	1	1	480	2	1302	772	303	1829	776	465	233	254	0	780	0	2088	714	0	0	0	0
Zotu1195	0	0	0	12	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	25	20	0	0	0	0	0	0	0	23	0	0	0	46	46	0	2	3	0	1	42	27	2	0	2	0	0	42	16	0	0	15	0	10	21	4	0	25	0	0	0	13	0	0	0	0	17	0	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu34	49	3	190	218	113	77	6	173	194	397	0	132	1	13	13	104	28	96	5	37	3	6	456	1075	12	4	22	3	9	252	23	368	2	21	0	1576	1708	199	83	198	0	251	1005	1229	241	2	163	334	63	420	706	6	3	509	3	362	260	181	0	871	20	1	5	169	8	167	0	240	462	261	290	2	274	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0
