2M.9.2	1M.8.4	2M.10.4	1M.10.1	1M.6.1	1M.9.2	1M.10.2	1M.8.2	1M.6.3	1M.8.1	1M.9.1	1M.10.4	2M.9.4	2R.6.3	1R.9.2	2M.6.4	1M.7.3	1M.7.1	1M.9.3	1M.6.2	2R.7.2	2M.6.1	2R.8.2	1M.7.2	2M.8.2	2M.6.2	2M.9.1	1M.8.3	1R.9.4	2R.9.1	2M.9.3	2R.9.2	2R.7.3	1M.7.4	1R.8.4	1M.10.3	2M.8.3	1R.6.2	2R.8.4	1R.6.1	1R.6.4	2R.7.1	Input3	Input1	3M.7.4	Input2	3R.10.3	3M.9.2	3M.7.1	3R.7.4	3R.7.2	3R.9.4	3R.10.1	3R.9.3	3R.6.3	3M.9.1	3M.10.4	3M.7.3	3R.7.1	3M.10.3	3R.8.3	3M.10.1	3R.8.4	3R.10.4	3M.8.1	3M.8.3	3R.10.2	3R.6.1	3R.6.2	3R.6.4	3M.6.2	3R.7.3	3M.9.4	3R.9.2	3M.10.2	3R.8.1	3M.6.4	3R.8.2	3R.9.1	3M.8.2	3M.7.2	3M.9.3	3M.6.1	3M.6.3	3M.8.4
1M.9.1	0.536649989774	0.528404079303	0.515831309644	0.257600558313	0.51270523048	0.113707933236	0.512441298813	0.485108808613	0.35450233911	1.0	0.0	0.323500677393	0.33400503263	0.582496817158	0.68553050775	0.477883655707	0.251979432719	0.231695709771	0.311476380043	0.541106728222	1.0	0.632387787867	0.586804048343	0.147908902521	0.647234678625	0.702338377647	0.467955718584	1.0	0.531093514228	0.361660842671	0.55421011232	0.480096459392	0.580073537242	0.830632577715	1.0	0.749349952816	0.590718013185	1.0	0.629599840629	0.72858929083	0.644908540402	0.592366371547	0.852794880429	0.793602170106	0.691866536197	0.797391133457	0.926429133707	0.722091558745	0.790810517673	0.636094166903	0.461337749982	0.780185376222	0.596330021016	0.705787396352	0.808873037657	0.544843395153	0.693968926277	0.707165707927	0.699782427849	0.663340196221	0.58636652767	0.673413619427	0.530080162039	0.715806492439	0.438056821074	0.366710654827	0.851029934525	0.78688689355	0.676963784231	0.809409615711	0.550536182106	0.816474084673	0.538019907398	0.75155936267	0.809203765713	0.758350401929	0.765481534442	1.0	1.0	0.724767418807	0.789993459512	0.667323414926	0.552103343078	0.703738119634	0.550579754985
1M.10.4	0.623863702536	0.61311383922	0.608375561717	0.432202864131	0.424885170994	0.298963005697	0.410837211226	0.588937793007	0.49257093619	0.774603600025	0.323500677393	0.0	0.434565891798	0.330548722591	0.392101091336	0.584439677662	0.404098045751	0.376001436292	0.45547155058	0.649532637604	1.0	0.511884979754	0.685279444269	0.35022732261	0.530994493247	0.540535935388	0.589056694235	0.705974471737	0.414136868105	0.455756384119	0.66022259443	0.58581437342	0.681197096028	0.75569607736	0.737474620887	0.457260348305	0.201042097428	0.706231054227	0.710688939524	0.600033373938	0.226135112765	0.657265184306	0.768441346365	0.698213850024	0.487145355983	0.715955176662	0.630440826314	0.482484259552	0.569600620396	0.630304386548	0.52266716632	0.603441819959	0.652579489743	0.474240585731	0.6640314906	0.591561089952	0.552650100714	0.585293331627	0.556689262148	0.479651337955	0.65499939235	0.432533557948	0.588050572945	0.776367283388	0.357723868252	0.483190161375	0.602304972069	0.822153331344	0.556090691294	0.680074866581	0.579700875726	0.552961457867	0.251183682129	0.635071321916	0.696095450328	0.580211141163	0.642537733695	0.810018865798	1.0	0.600809405119	0.511281020276	0.812672620196	0.414847959666	0.766424923292	0.657265184306
2M.9.4	0.394124660993	0.602845374399	0.685397093696	0.21059453555	0.451781716197	0.314647248	0.392401241	0.666446859042	0.263185846131	0.779275659285	0.33400503263	0.434565891798	0.0	0.468772847505	0.621573864893	0.662006893573	0.172177601502	0.404500209791	0.196984330246	0.63147605271	1.0	0.731851045765	0.609615478767	0.240815771848	0.74941899526	0.539199936639	0.359093037132	0.702973511121	0.694853959411	0.282724660149	0.323561954405	0.663366023688	0.622692606698	0.648709931499	1.0	0.617622703015	0.681915396677	0.703292704769	0.370044060643	0.55022805164	0.669685947679	0.575912839203	0.857519415244	0.785268133682	0.612241542414	0.804257076795	0.928537170264	0.551054546315	0.810564281444	0.568777654983	0.332523726098	0.669944036677	0.474385769068	0.741071008423	0.816211759624	0.475179138752	0.797584204413	0.750314210657	0.713160734538	0.81547607016	0.729342967587	0.552567542731	0.476082365888	0.463169221124	0.338722392542	0.441185843161	0.715016540076	0.794699430259	0.545691640964	0.634027216228	0.471089857266	0.821426852342	0.373346098431	0.786806580362	0.661882281018	0.767765006795	0.590994019194	0.775986494681	0.721457332236	0.767930466783	0.674964243088	0.782353445264	0.559608578474	0.453843491585	0.629338463472
2R.6.3	0.548477045293	0.715627188403	0.77855518524	0.482362604171	0.177829799707	0.57557486552	0.229997299333	0.595418972377	0.485567230959	0.67959620165	0.582496817158	0.330548722591	0.468772847505	0.0	0.180798266462	0.768836658934	0.432705475079	0.60631610337	0.444729984328	0.756950789428	1.0	0.348033356936	0.793059749933	0.557362130947	0.376235179998	0.395022275807	0.550849941227	0.566317895811	0.452498889361	0.478302827865	0.542286938485	0.769386265546	0.776974181035	0.644953329912	0.709938263287	0.175226156036	0.420858930186	0.570087187628	0.594020098984	0.228824165003	0.440452125885	0.794552354897	0.610985850653	0.560350052104	0.288551029009	0.555163343932	0.387763576735	0.259687686307	0.44360554579	0.601031211949	0.513956441027	0.303682594235	0.589947941232	0.34512609393	0.444728351374	0.435308897101	0.686707180277	0.395358167719	0.660887588533	0.373757256824	0.79843737239	0.120141657512	0.569242858793	0.643755164769	0.226267862921	0.625724640663	0.539864237604	0.862677960599	0.241297886365	0.459345500515	0.505914541567	0.409048353044	0.243094465426	0.445574114107	0.61166390135	0.382939504989	0.291349236416	0.358487605613	0.788690597264	0.550357282228	0.258822543081	0.57173519275	0.479002329577	0.453967952205	0.759202273823
1R.9.2	0.578835105449	0.774914055975	0.649691575329	0.539633156012	0.213289132387	0.634207085841	0.280370391132	0.468273496943	0.490069646667	0.652279139278	0.68553050775	0.392101091336	0.621573864893	0.180798266462	0.0	0.63461897139	0.509316703472	0.663119618149	0.517487579485	0.727503697335	1.0	0.249333201523	1.0	0.738244931781	0.295020694237	0.451423320527	0.467177657951	0.547305898849	0.341583671304	0.626220843264	0.518193209343	0.633747875836	0.753177629391	0.757927529218	0.766005423585	0.133392583944	0.351616439621	0.530011694342	0.794533148073	0.205429585126	0.385613945304	1.0	0.616083149242	0.610672223772	0.365031854827	0.567194087665	0.394642288076	0.344411879157	0.405640396834	0.696314547874	0.634090779853	0.282372678373	0.687089746447	0.362615396333	0.393920177708	0.578244085369	0.585064146838	0.362690418868	0.630207206007	0.316343099188	0.706634563095	0.242678190204	0.627893009947	0.622244496798	0.330934666315	0.775704871484	0.528132088543	0.851844121904	0.188375008836	0.448973986738	0.54412031888	0.507880754118	0.354564252118	0.408497607306	0.603769535471	0.507596300849	0.430562752351	0.329476458465	0.794236171733	0.535178518779	0.206421351395	0.548857682772	0.68418532306	0.637272771621	0.73379355711
2M.6.4	0.625617901894	0.656350866684	0.430633663437	0.563446058273	0.656051411916	0.388339137331	0.669045287067	0.393174639975	0.486747502111	1.0	0.477883655707	0.584439677662	0.662006893573	0.768836658934	0.63461897139	0.0	0.518083589379	0.465439022349	0.53180956773	0.522254777664	0.59636668462	0.621698679472	1.0	0.538927135398	0.637694812309	0.694203663012	0.447176626141	1.0	0.511487462029	0.687112540686	0.535734299538	0.00439578158532	0.562367809489	1.0	1.0	0.743731237094	0.576406984214	1.0	1.0	0.721361335552	0.631971420513	1.0	0.887819657065	0.880909402831	0.731340770498	0.761951772956	0.92495786672	0.777730602021	0.786603339616	0.748138771622	0.695398823662	0.775964547539	0.76131168663	0.802790127242	0.80366235429	0.804328333154	0.644634969602	0.486529322949	0.361066397228	0.735057077833	0.294483725512	0.68633093802	0.67702593062	0.705639071368	0.662518534703	0.653347828357	0.663190648468	0.514405243042	0.668268369222	0.609780095921	0.51155052544	1.0	0.584642609256	0.511568256357	0.610877681079	0.831301266112	1.0	1.0	1.0	0.717908453358	0.785777703186	0.61324499207	0.591599914954	1.0	0.53199878807
1M.7.3	0.291029008515	0.55270892056	0.55097238608	0.197471259995	0.327264858723	0.231330281645	0.38075434181	0.524321395937	0.0804853414403	0.769653041002	0.251979432719	0.404098045751	0.172177601502	0.432705475079	0.509316703472	0.518083589379	0.0	0.3197703647	0.0473427584348	0.573827477102	1.0	0.651544827148	0.676988653326	0.268925584797	0.664426927542	0.472036109556	0.165002178145	0.651444205255	0.564288832565	0.44940470997	0.228536082789	0.519992803179	0.610717652228	0.616483635917	1.0	0.555955393691	0.615962882193	0.651812833163	0.381778073913	0.502477417776	0.667640751262	0.681025120161	0.81797630294	0.768908037141	0.591770307736	0.753109488894	0.929132538293	0.607818633266	0.798538621107	0.590742197562	0.30352480115	0.611950797455	0.428141694108	0.715041831998	0.818257829919	0.606131281132	0.70966297214	0.7213867546	0.716860144059	0.749494262903	0.612947685303	0.513534558531	0.377889498613	0.420253786164	0.246399025378	0.444527110683	0.690454390691	0.796882639294	0.456816374022	0.602966342106	0.434984434696	0.845983307251	0.356465669189	0.761877746431	0.635520036033	0.778423722252	0.592151110744	0.736093805813	0.672811405398	0.737200285636	0.662939262749	0.784778887508	0.609549874498	0.411420394129	0.582807896484
1M.7.1	0.575111230541	0.565541131749	0.483831623718	0.354416880004	0.536596764085	0.136042214602	0.503633337198	0.454289965284	0.416486276008	1.0	0.231695709771	0.376001436292	0.404500209791	0.60631610337	0.663119618149	0.465439022349	0.3197703647	0.0	0.375906040057	0.590558906897	1.0	0.661649796131	0.643273729174	0.251657038056	0.673544942273	0.724749911136	0.522850233982	1.0	0.569869609131	0.428981612707	0.602614331222	0.45984257221	0.626344635392	0.665930572115	1.0	0.765112804597	0.629074820258	1.0	0.676546728815	0.748553569103	0.679403016366	0.647555539316	0.868145279563	0.810502585864	0.705527415815	0.815281915212	0.930594147771	0.739427585835	0.802715539989	0.708224252529	0.504297751189	0.792169970546	0.620328279664	0.720087755314	0.823232176086	0.58554732417	0.670014479332	0.728931063523	0.725799216527	0.754557155258	0.596755955968	0.690733264482	0.528819579814	0.496288892471	0.478245036506	0.42642997271	0.858677522135	0.802199586154	0.700956113932	0.822027985689	0.551360752473	0.82627606683	0.569216020476	0.767413834659	0.819872532197	0.776760963228	0.783950320019	1.0	1.0	0.743832008736	0.801924430885	0.790675322699	0.590030717677	0.731835124542	0.599276527331
1M.9.3	0.256846548947	0.539730967944	0.564865073014	0.229636883585	0.322848129376	0.291767680204	0.409198269844	0.538091869777	0.0620586819417	0.762874360847	0.311476380043	0.45547155058	0.196984330246	0.444729984328	0.517487579485	0.53180956773	0.0473427584348	0.375906040057	0.0	0.556527318027	1.0	0.641318513713	0.727910204671	0.302662340761	0.655234237524	0.446218976614	0.143974044116	0.621419714697	0.578201505751	0.483342025591	0.180381994738	0.533733041984	0.594529208735	0.59839730899	1.0	0.536512454252	0.602550557384	0.621836029139	0.401522232608	0.478109732076	0.655577492249	0.731449182976	0.819866525144	0.78233347021	0.610009463279	0.754965419581	0.927678607839	0.620237871635	0.794382728149	0.601515203954	0.314605153279	0.596303671271	0.440683447929	0.710052063835	0.813240684853	0.637237554264	0.722038328551	0.713782125078	0.707765259166	0.746896832461	0.62670221063	0.498450453062	0.406408446394	0.393695529576	0.256753202697	0.474470343604	0.677210805819	0.791533132276	0.442002033555	0.5835825774	0.469975551204	0.873012247374	0.369007507772	0.756341149444	0.61993311247	0.815748296733	0.610114719854	0.716107690681	0.645493248644	0.730540871571	0.655998586419	0.778831391189	0.638913566469	0.431232904902	0.565771708445
1M.6.2	0.617309550618	0.640879267288	0.561462233674	0.670779848816	0.714820861334	0.525663910547	0.754492812045	0.529781480059	0.541959285722	1.0	0.541106728222	0.649532637604	0.63147605271	0.756950789428	0.727503697335	0.522254777664	0.573827477102	0.590558906897	0.556527318027	0.0	1.0	0.636202192409	1.0	0.487289488863	0.663437052393	0.672499108821	0.498301250796	1.0	0.577008197414	0.65917658504	0.483859001674	0.524563046982	0.51252381391	1.0	1.0	0.728999345498	0.555694889722	1.0	1.0	0.70212409586	0.596304087778	1.0	0.919506997326	0.914460223283	0.815113044224	0.894297338107	0.921133152342	0.87596778951	0.775661939128	0.830869124346	0.702870946517	0.765791946253	0.748448590457	0.794323616878	0.789762788981	0.79091957761	0.735385677665	0.678257144387	0.664120935078	0.761143593679	0.632269066638	0.790405559098	0.753227567462	0.677674354661	0.67974600251	0.627085994956	0.841427704261	0.766674478958	0.66510568922	0.792985422112	0.774946717881	1.0	0.739644577313	0.731043921861	0.795660674407	1.0	1.0	1.0	1.0	0.699764153203	0.774815440791	0.750995499137	0.782723055369	1.0	0.479847468721
