2M.9.4	1M.7.3	1M.9.3	2R.6.3	2M.7.3	1M.6.1	1M.10.2	2M.9.3	1M.10.1	1M.10.4	2M.7.1	2M.9.2	1M.8.3	2M.8.2	1M.9.2	1M.7.2	1M.7.1	1M.10.3	1M.6.3	2M.9.1	2M.8.3	1M.9.1	1M.7.4	2M.10.3	1R.6.1	2M.10.4	2M.6.4	1M.6.2	1M.6.4	2M.6.2	1R.9.2	Input3	Input1	Input2	3R.9.1	3R.7.4	3R.10.2	3R.9.4	3M.10.3	3M.10.1	3R.7.2	3M.8.1	3M.9.2	3R.6.4	3M.7.4	3M.6.2	3R.6.3	3R.10.1	3R.8.4	3M.7.1	3M.8.4	3M.9.4	3R.8.3	3R.9.2	3R.8.2	3M.10.2	3R.9.3	3M.6.3	3M.7.2
2M.7.1	0.529986513378	0.223313594359	0.281587289416	0.321093431253	0.0886079120769	0.55472163401	0.308359549604	0.342547075445	0.267562092758	0.0246224479736	0.0	0.308912760124	0.539954859525	0.540092837829	0.0415897149565	0.0487269113763	0.127673496671	0.29250983253	0.541584071895	0.254522937536	0.0128001013153	0.0100186490326	0.535062063561	0.530108383581	0.318182879287	0.071791098984	0.00702889352932	0.0765638897124	0.00195100005968	0.585047200932	0.315298688057	0.307287729656	0.23498885068	0.183884285421	0.521470102649	0.54702163727	0.544891979484	0.364265897072	0.230582345725	0.334201667356	0.307783887976	0.307869126987	0.535300507723	0.541584071895	0.228824743398	0.203181116438	0.475479008545	0.533811657515	0.28609346232	0.0397497547262	0.00710587757588	0.528128506299	0.540092837829	0.533811657515	0.555218392446	1.0	0.00973199580776	0.530926597862	0.467013039747
2M.9.2	0.163528814995	0.0667266798197	0.0357803701091	0.0111954995058	0.364052353934	0.305825766322	0.0886359441334	0.0350725890238	0.110014199503	0.293777714682	0.308912760124	0.0	0.179337320161	0.705241386683	0.283394908992	0.339103388181	0.384551566039	0.0431860667884	0.287568059564	0.06350478768	0.316812686564	0.302744729443	0.171568668156	0.163721635917	0.0501130515452	0.29888616683	0.313248120057	0.302097388477	0.307710569186	0.285001635891	0.108453046036	0.028909660909	0.0640993566507	0.10084582193	0.162753459451	0.295111028177	0.315421395041	0.0831282184972	0.404554832652	0.0517688720592	0.00955662105968	0.0371045771966	0.171946846832	0.18192813566	0.0609259351249	0.10257614162	0.614160882769	0.169586189388	0.0841576298518	0.333517223987	0.304536614049	0.16059048228	0.705241386683	0.701659321039	0.20368840519	0.597752330814	0.314917127072	0.165016487839	0.189458015864
1M.8.3	0.0218334386597	0.237720260508	0.216973985381	0.168392492657	0.580993538678	0.480824525169	0.216557341557	0.13971672364	0.294119502559	0.52854142622	0.539954859525	0.179337320161	0.0	1.0	0.520674034106	0.562529352125	0.596037051823	0.199422230557	0.465392777381	0.249616592719	0.545886544533	0.535311340283	0.0107156956742	0.0215664665197	0.174264046637	0.532401000202	0.543212252867	0.534823374575	0.539050649303	0.19358779377	0.310537978179	0.173714409267	0.248875241892	0.274545508118	0.0386574074074	0.471780691474	0.232611436438	0.205237184835	0.624509527325	0.17527457142	0.177736293567	0.171630489652	0.0101934404976	0.00356775490914	0.230748920206	0.292665671581	0.556001015649	0.0134544786213	0.281182156213	0.558371586055	0.536661444702	0.0259037696425	1.0	1.0	0.0334176828309	0.488772309165	0.544464858639	0.0197740916721	0.0733228894044
2M.8.2	1.0	0.66366771067	0.656642443661	0.723851038327	0.58110800111	0.551636962331	0.637468044405	0.742343387709	0.553931481416	0.528686334684	0.540092837829	0.705241386683	1.0	0.0	0.520823818429	0.562654123264	0.350126924378	0.658749660928	0.538314025393	0.632326354584	0.546020988194	0.535452117619	1.0	1.0	0.687981932191	0.476648751067	0.543348284441	0.469001362372	0.539189170446	0.697159086252	0.621189121768	0.687439454954	0.626416637339	0.633844250464	1.0	0.543828977057	0.790955293772	0.72359788439	0.236287839841	0.706119528914	0.698886742785	0.683233195047	1.0	1.0	0.685935142248	0.586876533115	0.556129537924	1.0	0.640691184505	0.558498739795	0.536801405322	1.0	0.0	0.0137565838445	1.0	0.558498739795	0.544600145294	1.0	1.0
1M.9.2	0.509842781059	0.242394476475	0.255399377192	0.295801379876	0.129719587289	0.53668298261	0.284175007172	0.318342060406	0.241667613221	0.0169846599642	0.0415897149565	0.283394908992	0.520674034106	0.520823818429	0.0	0.0901339663929	0.166349157331	0.267189303065	0.522442408678	0.227081890216	0.0543608771195	0.0315842262106	0.515360154039	0.50997531981	0.294252679143	0.0325314127359	0.0486043999773	0.037715355986	0.0396419315041	0.572859971879	0.288626961938	0.282407197524	0.207047498109	0.214387762319	0.500644194757	0.528340636564	0.598349086101	0.342970584731	0.202962395454	0.31099360846	0.282461140658	0.283196374301	0.51561922905	0.522442408678	0.266649637937	0.173932820891	0.534633378876	0.514001375026	0.258587265272	0.0812052227539	0.0344940314509	0.507821758711	0.520823818429	0.514001375026	0.537220780306	1.0	0.0513009466584	0.510865084506	0.513670213022
1M.7.2	0.553524874352	0.255988184495	0.312601482391	0.350996143073	0.0400539371744	0.575903532435	0.337091113791	0.371190968413	0.29829994407	0.0732614620178	0.0487269113763	0.339103388181	0.562529352125	0.562654123264	0.0901339663929	0.0	0.165252841298	0.32253876175	0.564002852056	0.286996738762	0.035949231935	0.0587168961224	0.558107263353	0.553634845072	0.346604425023	0.117720476937	0.0417123041556	0.122033719148	0.0506730941371	0.603117720839	0.346720219685	0.336786854274	0.268074636999	0.218015355697	0.545772104749	0.568924430297	0.481335244365	0.389643869659	0.263330814344	0.361779536369	0.337765277423	0.337138577459	0.558322661266	0.564002852056	0.261171994883	0.237801181408	0.434193668027	0.556977891565	0.318526946716	0.00899457809348	0.0558134636818	0.551848637858	0.562654123264	0.556977891565	0.576354177293	1.0	0.0390134161244	0.554373242365	0.493159340418
1M.7.1	0.588371214233	0.305384488373	0.359352507629	0.39596850336	0.19634367795	0.611673732527	0.380586677036	0.414324032972	0.348524280454	0.149700426376	0.127673496671	0.384551566039	0.596037051823	0.350126924378	0.166349157331	0.165252841298	0.0	0.36789082633	0.601608853137	0.335897905821	0.137502214631	0.135316065165	0.592269349636	0.588464690715	0.38961443815	0.190182996686	0.133066944661	0.193837784432	0.127347826175	0.406166723205	0.393749047692	0.381322341947	0.317938162168	0.269647062112	0.581682831786	0.605766136045	0.407611799597	0.428226428221	0.0971374791349	0.403541756474	0.382942663916	0.381361631374	0.59245273761	0.597293797512	0.310089319654	0.293816308466	0.298065155824	0.591308038158	0.367128829448	0.1582959528	0.132440979658	0.586946837101	0.350126924378	0.342345944018	0.607853783189	0.759942185639	0.135143551224	0.589092430704	0.531970154031
1M.10.3	0.190770006178	0.0602059719028	0.0177299112173	0.0536095816869	0.34741299864	0.250259887356	0.0451316747313	0.0569539268234	0.085118522745	0.277485130315	0.29250983253	0.0431860667884	0.199422230557	0.658749660928	0.267189303065	0.32253876175	0.36789082633	0.0	0.231127853645	0.0404390318967	0.300359923781	0.286384413278	0.192072127213	0.190503862581	0.0365277815962	0.282554156414	0.296817184132	0.28574173251	0.291315692278	0.32043090001	0.0814722779543	0.0231112170365	0.0556709973639	0.0919532107704	0.207284492872	0.239028500112	0.348269744939	0.0934891430685	0.374868411142	0.0562735953809	0.0335447904652	0.0236771906364	0.192429834694	0.201874385912	0.0731960223836	0.0897708691834	0.642766502342	0.190197123069	0.0644048506803	0.316976640039	0.288163584433	0.194825216466	0.658749660928	0.654727886214	0.222488316399	0.587612292782	0.298475836285	0.188716529586	0.231813757559
1M.6.3	0.497270708764	0.297451105966	0.255502442718	0.301603711944	0.582345472602	0.0287659131776	0.183724824058	0.288294347198	0.247476296052	0.530252330546	0.541584071895	0.287568059564	0.465392777381	0.538314025393	0.522442408678	0.564002852056	0.601608853137	0.231127853645	0.0	0.266771856963	0.547474087089	0.536973548513	0.481038858866	0.496880945845	0.232455198742	0.534084056711	0.544818515609	0.536489069323	0.540686260956	0.603430168648	0.244684410843	0.247913331923	0.273794624112	0.301980905753	0.521107000432	0.0119068256676	0.618623202774	0.288139197392	0.602356212586	0.253565363051	0.274372132899	0.236815305302	0.480276337221	0.460183201596	0.311485844053	0.281779825116	1.0	0.485037587983	0.283546764357	0.559873179606	0.538314025393	0.503213049926	0.538314025393	0.53198382848	0.476298615497	0.483710291351	0.54606233946	0.494264169486	0.538314025393
2M.9.1	0.235206105211	0.0485677732569	0.0271142989609	0.0751617517361	0.313838862204	0.285507725522	0.0713057078582	0.0983221433431	0.0559249660095	0.23824648456	0.254522937536	0.06350478768	0.249616592719	0.632326354584	0.227081890216	0.286996738762	0.335897905821	0.0404390318967	0.266771856963	0.0	0.263019480389	0.247889488956	0.24253474953	0.235381864068	0.0757236191689	0.243739952308	0.259185639797	0.24719332239	0.253230005795	0.329093875456	0.0501809162701	0.0627793353748	0.0158796649589	0.0542655629922	0.225177199861	0.274512024461	0.364131841708	0.132413583478	0.343406273042	0.0957012261228	0.0629826193212	0.0630989190481	0.242879484973	0.251978449615	0.0702773865221	0.0506495359412	0.631639827715	0.240727601645	0.0403007822857	0.280987481631	0.249816546482	0.232527806204	0.632326354584	0.627871756891	0.271817461928	0.647603592843	0.26098071207	0.236562145384	0.249816546482
2M.8.3	0.536176311822	0.231852837482	0.289699489473	0.328920192766	0.0758938888705	0.560280934566	0.31586525833	0.350041589379	0.275594548407	0.0374107585466	0.0128001013153	0.316812686564	0.545886544533	0.546020988194	0.0543608771195	0.035949231935	0.137502214631	0.300359923781	0.547474087089	0.263019480389	0.0	0.0228158244529	0.541119761334	0.53629499365	0.325608423256	0.08386337733	0.00577172707142	0.0885131365968	0.0147507330049	0.589775179566	0.323534724775	0.315000157366	0.243643428361	0.192802463534	0.527864208315	0.55277362732	0.528293828337	0.370887249923	0.239144154151	0.341405321089	0.315626801614	0.315519760021	0.541352034125	0.547474087089	0.237277632104	0.2122384223	0.457238710128	0.539901768898	0.294591724065	0.0269633723987	0.0199041684886	0.534367014393	0.546020988194	0.539901768898	0.560765373124	1.0	0.00306848775069	0.537091822754	0.473883180294
