NC_N_Root_1	NC_N_Root_2	NC_N_Root_3	NC_N_Shoot_1	NC_N_Shoot_2	NC_N_Shoot_3	SC_N_Root_1	SC_N_Root_2	SC_N_Root_3	SC_N_Shoot_1	SC_N_Shoot_2	SC_N_Shoot_3	NC_Y_Root_1	NC_Y_Root_2	NC_Y_Root_3	NC_Y_Shoot_1	NC_Y_Shoot_2	NC_Y_Shoot_3	SC_Y_Root_1	SC_Y_Root_2	SC_Y_Root_3	SC_Y_Shoot_1	SC_Y_Shoot_2	SC_Y_Shoot_3
AT1G01380	3.4017	3.1757	2.9883	0.5791	0.518	0.8584	2.5456	2.0895	2.3261	0.9394	0.8377	0.8495	3.0336	2.948	2.9695	-0.0906	-0.0185	0.2164	2.3396	2.5886	2.0469	0.2756	0.5677	-0.1398
AT1G01390	-5.5022	-3.8504	-5.3382	3.5901	3.1993	3.5641	-5.4374	-4.0466	-3.0173	3.3649	3.268	3.3664	-5.4052	-1.2919	-1.6638	3.0674	3.4878	2.8898	-3.0038	-2.2835	-0.5942	3.5814	3.419	3.4813
AT1G01420	-0.3729	-0.1499	-0.4802	5.3383	5.119	5.0991	0.585	-0.7736	0.3332	5.003	4.9619	4.8743	0.6172	0.0749	0.2343	5.2165	5.2306	5.1992	1.2441	0.4637	1.1633	4.9575	4.9148	4.9458
AT1G01430	4.3728	4.3896	4.4932	6.6168	6.5207	6.4217	4.3159	4.3095	4.1016	6.8974	7.0712	6.9101	4.6046	4.8449	4.9116	6.4183	5.7485	6.1905	5.0525	4.982	5.04	7.2042	7.0531	7.1927
AT1G01440	5.0552	5.0853	5.0205	4.4702	4.4801	4.4183	5.0108	4.8792	4.8763	4.5873	4.6068	4.8244	5.3721	5.4439	5.2199	4.4921	4.435	4.459	5.1591	4.9494	5.0149	4.7031	4.9748	4.6151
AT1G01448	4.0921	4.1096	4.2524	4.43	4.471	4.4338	3.7098	3.5003	3.813	4.4761	4.4941	4.3366	4.562	4.6137	4.4256	4.3269	3.8649	4.2562	3.9573	3.9176	4.0606	4.2588	4.2979	4.4478
AT1G01453	2.0752	2.8454	2.0282	-2.7137	-4.8396	-3.5339	2.6125	2.2326	2.2828	-4.4868	-4.5199	-4.705	1.8894	1.9278	2.328	-0.2017	-0.5393	-0.9412	2.9917	1.6773	2.3081	-4.4793	-4.6417	-3.0784
AT1G01470	5.314	5.6462	5.2477	6.4894	6.451	6.5915	5.0535	4.9124	5.2048	6.2283	5.8344	6.2353	6.1286	6.2427	6.1441	7.1221	7.5589	6.9855	5.6321	5.5948	5.6762	6.6507	6.5622	6.5022
AT1G01480	0.7266	1.1038	0.9656	-2.7137	-4.8396	-5.1189	1.7426	0.8762	0.7268	-2.9019	-2.9349	-2.3831	1.4652	1.7548	1.4466	-1.6756	-0.6706	-0.7347	1.9316	0.5239	1.0796	-2.8943	-3.0567	-4.6634
AT1G01490	5.6017	5.6881	5.505	6.4202	6.1973	6.1923	5.5059	5.4802	5.4265	6.4087	6.4307	6.2801	5.419	5.4901	5.2464	6.1425	6.1064	6.3591	5.2105	5.3511	5.1492	6.1619	6.2386	6.4208
