NC_N_Root_1	NC_N_Root_2	NC_N_Root_3	NC_N_Shoot_1	NC_N_Shoot_2	NC_N_Shoot_3	SC_N_Root_1	SC_N_Root_2	SC_N_Root_3	SC_N_Shoot_1	SC_N_Shoot_2	SC_N_Shoot_3	NC_Y_Root_1	NC_Y_Root_2	NC_Y_Root_3	NC_Y_Shoot_1	NC_Y_Shoot_2	NC_Y_Shoot_3	SC_Y_Root_1	SC_Y_Root_2	SC_Y_Root_3	SC_Y_Shoot_1	SC_Y_Shoot_2	SC_Y_Shoot_3
AT2G44850	2.7785	2.8547	2.41	2.5113	2.2585	2.4585	2.2837	2.3741	2.3819	2.6321	2.599	2.1151	2.9302	2.9155	2.7533	2.6057	2.7119	2.7247	2.409	2.5312	2.6208	2.5976	2.4563	2.37
AT2G44860	5.9183	5.7239	5.7853	5.7498	5.6147	5.6318	5.7897	5.99	6.0034	5.6968	5.6235	5.7369	5.7312	5.4998	5.7167	5.8189	5.7581	5.6769	5.7557	5.9933	5.8022	5.8838	5.6379	6.104
AT2G44870	4.3291	4.3145	4.2487	6.6627	6.7402	6.7278	4.3058	4.1997	4.2287	6.7232	6.6507	6.82	4.3876	4.5569	4.3505	6.5548	6.6999	6.5914	4.1919	4.2557	4.2543	6.6737	6.8182	6.9314
AT2G44880	0.2257	0.6308	0.5445	0.1738	-0.9327	-0.1647	-0.0111	0.5182	0.8896	-0.5799	0.5245	0.0498	-0.451	-0.3304	-0.7309	0.1989	0.1466	0.0022	0.289	0.1946	0.3711	-1.0198	-0.5542	-0.1398
AT2G44900	4.9293	4.992	5.0139	5.4207	5.3564	5.38	4.6958	4.6128	4.5781	5.3092	5.2794	5.3187	5.2104	5.3282	5.2266	5.1727	5.2443	5.1479	4.7497	4.8085	4.803	5.3896	5.3255	5.3933
AT2G44910	1.2392	0.5419	1.0369	0.8951	0.0184	0.4958	0.9377	0.477	0.7693	0.8707	1.0347	0.8495	0.5255	0.65	0.8991	1.0852	1.3465	0.3126	0.289	0.8864	0.9443	1.3021	0.4876	1.118
AT2G44920	-1.5953	-3.8504	-3.0162	5.887	5.7388	5.7352	-1.7369	-2.4616	-1.8798	6.061	6.0452	6.0457	-2.2353	-2.7325	-2.3159	5.5818	5.5117	5.6792	-3.0038	-1.9209	-2.1791	5.8728	5.8085	5.9112
AT2G44930	-5.5022	-5.4353	-5.3382	-0.1776	-0.1957	-0.0745	-5.4374	-5.6316	-5.3392	0.157	0.7655	0.7868	-5.4052	-5.5398	-5.1232	0.0125	0.0664	0.7846	-5.3258	-3.5059	-4.9865	0.2756	0.973	-0.9629
AT2G44940	5.1729	5.596	5.2496	6.8791	6.8482	6.6604	4.4097	4.0177	4.6337	6.1159	6.0125	5.9788	5.1599	5.6093	5.5233	6.9542	6.5769	6.8407	5.4727	5.4894	5.5691	6.2444	6.1648	6.3513
AT2G44950	5.3964	5.4327	5.4092	5.2874	5.4608	5.4076	5.236	5.1782	5.256	5.2994	5.3734	5.3597	5.3819	5.5443	5.3413	5.2669	5.3686	5.4577	5.2124	5.2501	5.097	5.2401	5.5042	5.1679
AT2G44970	5.3964	5.5752	5.2994	5.6726	5.6533	5.6747	5.39	5.319	5.2182	5.4483	5.4212	5.3917	5.5526	5.5862	5.6655	5.8401	5.935	5.9082	5.3911	5.3531	5.4345	5.3005	5.3903	5.2835
AT2G44980	4.3758	4.3044	4.3396	3.198	3.1883	3.0954	4.3159	4.1677	4.3733	3.6059	3.519	3.2665	4.3312	4.4503	4.3984	3.6016	3.2179	3.4825	4.0163	4.3122	4.315	3.4216	3.4081	3.5314
AT2G44990	-1.5953	-1.7349	-2.1682	-3.4507	-3.2546	-3.5339	-0.4832	-2.1721	-1.2518	-1.3169	-2.9349	-4.705	-1.0129	-2.0804	-0.7309	-4.8455	-2.2555	-3.0567	-1.6253	-1.6314	-1.5271	-4.4793	-4.6417	-1.4935
AT2G44995	-1.1099	-0.9118	-2.5308	-0.0814	-0.5916	-1.6595	-1.9779	-1.7247	-1.8798	-0.5799	-1.35	-0.7982	-0.8816	-2.0804	-1.4228	-0.9386	-0.2049	-0.3937	-3.7408	-1.3904	-0.7386	-0.7788	-0.5542	-0.7565
AT2G45000	5.7826	5.7674	5.9696	5.2159	5.0537	5.0091	5.8394	5.8876	5.7958	4.7635	4.9001	4.8283	5.9485	6.0615	6.0144	5.2669	5.0702	5.0431	5.6931	5.6946	5.7303	5.307	5.2875	5.2024
AT2G45010	4.6614	4.4761	4.3778	4.6064	4.4481	4.3589	4.8423	4.7789	4.7862	4.3429	4.4941	4.3904	4.321	3.9935	4.2626	4.8287	4.6253	4.7312	4.6124	4.2733	4.2966	4.5009	4.4217	4.4838
AT2G45023	1.3926	1.4102	1.0369	2.4642	2.3203	2.2648	0.5399	0.6352	1.4022	2.1714	2.08	1.7707	1.4403	1.1744	0.9853	2.4119	2.4685	2.2532	1.15	1.249	0.9443	1.7496	2.2531	1.9065
AT2G45030	5.9225	5.7796	6.0907	5.7498	5.8926	5.7399	6.2807	6.2787	6.1421	5.5752	5.5636	5.4332	5.8504	5.7781	5.849	5.873	5.819	5.8592	5.8461	5.9732	5.8893	5.7387	5.6495	5.6975
AT2G45040	1.5958	1.5534	1.6731	-1.1287	-1.3801	-2.797	1.8388	1.6813	1.3473	-0.0945	-0.8195	-1.5351	1.1647	1.4488	0.9853	-0.7581	-2.741	-1.4717	1.5197	1.479	1.7278	-1.6719	-1.4718	-1.4935
AT2G45050	3.951	3.9719	4.2524	2.5266	2.6918	2.0808	4.8812	5.149	5.1151	2.7516	3.2417	2.8263	4.338	3.9257	3.9931	2.1432	1.537	1.9877	4.148	4.0866	3.7583	2.4396	2.3917	2.4965
AT2G45060	4.2137	4.0545	4.0902	4.3886	4.4665	4.4222	4.2752	4.1774	4.2992	4.5438	4.2383	4.2168	3.9009	3.8589	4.0442	4.0999	4.1045	4.327	4.276	4.0915	4.0387	4.3694	4.3723	4.4267
AT2G45070	5.7593	5.9073	5.8424	6.5137	6.147	6.0641	6.2311	6.1978	6.2924	6.3019	6.1249	6.1829	5.754	5.4804	5.754	6.4826	6.3523	6.4143	6.2774	6.1265	6.1305	6.4026	6.3896	6.604
AT2G45080	-0.076	-0.2259	-0.0527	2.259	2.6116	2.7077	-0.9138	-0.6774	-1.2518	2.021	2.3749	2.2138	0.1494	0.293	-0.0788	2.1432	2.2132	2.0166	-0.2814	1.138	0.2989	2.576	2.0448	2.37
AT2G45100	2.1773	2.0323	2.3413	3.1591	3.1883	3.5286	1.8388	2.34	2.223	3.4962	3.519	3.4798	1.8332	1.9278	2.1714	3.1934	3.3165	2.9053	1.8138	1.986	1.4892	2.972	3.2592	3.3082
AT2G45120	0.7266	0.8315	-0.0527	0.7457	0.0184	0.4357	0.0545	-0.077	0.7693	0.7226	-0.1276	0.4242	0.4774	0.3909	0.7594	1.0371	0.0664	-0.3937	1.2441	0.5239	0.2989	-0.0869	0.7846	0.4659
AT2G45140	5.9392	6.1669	6.2962	5.6829	5.6229	5.6468	6.2961	6.2742	6.2593	5.4065	5.4241	5.5907	6.0247	6.1636	6.1312	5.9152	5.6743	5.741	6.3257	6.1777	6.2162	5.6667	5.3226	5.4281
AT2G45150	2.1344	1.9655	1.9192	3.8378	3.9319	4.0078	2.5226	2.6399	2.6887	4.1678	4.0985	4.0926	1.9957	1.8089	2.2431	3.6016	3.8228	3.6848	2.2667	2.0891	2.3622	3.9843	3.8936	4.2345
AT2G45160	5.6251	5.6395	5.8486	5.8012	5.573	5.4967	6.1462	6.1818	6.1032	5.7764	5.7759	5.837	5.3622	5.3344	5.3756	5.7535	5.5361	5.5494	5.6072	5.6649	5.7269	5.8279	5.9776	6.1813
AT2G45170	5.9066	5.9639	5.3352	2.0624	1.8186	2.1003	5.5291	5.6074	5.5744	3.9183	4.3035	4.3256	5.875	5.7668	5.4227	2.3144	2.7119	2.558	4.7227	4.6148	4.4872	4.0482	3.9767	3.7418
AT2G45180	0.8016	0.6732	0.6842	9.7171	9.4083	9.4488	1.1325	0.7435	1.375	10.2469	10.3926	10.2818	0.8986	0.4825	-0.0788	9.5073	9.5407	9.5456	2.058	2.1665	2.3798	10.7493	10.8549	11.0894
AT2G45190	-5.5022	-3.8504	-5.3382	4.9826	4.9136	5.186	-5.4374	-5.6316	-5.3392	5.3253	5.2761	5.4434	-5.4052	-3.9549	-5.1232	4.587	4.7461	4.4799	-3.7408	-5.0909	-3.4015	5.2572	5.4013	5.5546
AT2G45200	4.5215	4.5203	4.5152	4.7862	4.7733	4.7468	4.6166	4.802	4.628	4.8729	4.7862	4.7065	4.562	4.5907	4.3944	4.5995	4.7873	4.8158	4.2908	4.4809	4.4037	4.8449	4.7268	4.8738
AT2G45210	3.875	3.6706	3.9496	1.1141	0.1146	0.8584	4.2047	4.3299	4.3314	0.7226	0.5245	0.2492	3.6419	3.7843	3.4042	2	1.7826	2.0449	3.4391	3.1992	3.2662	0.4749	1.0862	-0.1398
AT2G45220	6.6935	6.8756	6.8501	-0.1776	-2.0322	-1.212	7.0401	6.7616	6.3069	-0.7864	-0.4324	-0.0612	6.647	6.3569	6.0473	3.8234	4.8664	4.9339	6.0799	5.5248	5.812	0.5651	1.6981	-0.2711
AT2G45240	5.4829	5.384	5.444	5.3812	5.291	5.3599	5.3448	5.5687	5.4705	5.0543	5.1185	5.1071	5.377	5.3436	5.3636	5.4083	5.2283	5.4123	5.3369	5.4219	5.2411	5.3297	5.2935	5.1837
AT2G45245	2.4808	2.3395	2.1131	1.0729	1.8469	1.4203	1.5513	1.8841	2.1446	1.0678	0.8377	1.0763	2.3696	2.007	2.1529	1.1318	0.9595	1.1913	2.4358	2.2038	2.1531	0.8062	0.8501	0.1946
AT2G45250	3.9428	3.9634	3.9679	4.9937	4.788	4.7561	4.02	3.89	3.9668	4.3618	4.6324	4.6056	3.91	4.0507	4.0789	4.7488	4.6531	4.7356	3.801	3.7452	3.8931	4.3694	4.575	4.5436
AT2G45260	4.8186	4.7283	4.8725	4.8728	5.0568	4.8483	5.1124	4.9543	4.9357	4.9331	4.9538	4.9188	5.0532	5.0535	5.085	4.8392	4.8604	4.8442	5.1265	5.1606	4.9159	5.0025	5.0674	4.8184
AT2G45270	2.6424	2.8911	2.4756	4.8728	4.9369	4.9566	2.5456	2.6676	2.3118	5.1516	5.0819	5.2093	2.7896	2.6938	2.4692	4.7451	4.7684	4.8199	2.8291	2.9371	2.5449	5.0502	5.2271	5.2835
AT2G45280	2.3495	2.3129	2.3829	2.7782	2.8258	2.8867	2.9158	2.832	3.0488	2.931	2.8288	2.7462	2.7896	2.6251	2.4692	2.5723	2.5592	2.8582	2.8189	2.7979	2.693	3.1861	2.7246	2.944
AT2G45290	7.247	7.1671	7.2923	4.9054	4.6583	4.7344	7.4386	7.3591	7.3017	4.3429	4.5272	4.0598	6.8926	6.9874	7.1089	5.0955	4.55	4.9415	7.307	7.1443	7.2456	4.4662	4.292	3.6358
AT2G45300	6.4304	6.3805	6.5109	6.1998	6.0963	6.1414	6.7724	6.6349	6.5484	6.4238	6.2753	6.2571	6.3961	6.4549	6.5047	6.373	6.5065	6.2109	7.0138	6.8395	6.801	6.5186	6.628	6.434
AT2G45310	2.9366	3.0764	3.1335	3.4761	3.1088	3.55	2.9678	2.8881	3.2038	3.2479	3.6749	3.4191	3.0746	3.1915	3.1008	3.2786	3.112	3.1593	3.743	3.831	3.9706	3.2689	3.5131	3.5412
AT2G45315	2.9856	3.0685	2.8664	3.7159	3.5992	3.6259	2.9333	2.6858	2.7952	2.9644	3.0874	3.2665	3.1223	3.1982	2.8134	3.8445	3.7668	3.364	2.5384	2.3768	2.8777	3.083	3.2592	3.2131
AT2G45320	2.8772	2.8547	3.0412	2.6855	2.5613	2.3157	2.6868	2.8155	2.7106	2.673	2.7375	2.4345	3.2058	3.4114	2.98	2.5891	2.484	2.6158	2.5871	2.6165	2.5292	2.4633	2.7246	2.4965
AT2G45330	5.0761	5.0575	4.9157	3.6957	3.8079	3.9118	5.1523	5.047	5.0754	3.7079	3.7041	3.8686	4.9774	4.8578	4.8725	3.6343	4.0219	3.9244	4.8303	4.7718	4.8096	3.7828	3.7377	3.5798
AT2G45340	4.5215	4.3477	4.7293	6.6825	6.7222	6.6961	4.9191	4.8512	5.0434	6.361	6.3726	6.421	4.445	4.4012	4.3984	6.5452	6.5922	6.4157	4.48	4.522	4.4872	6.129	6.3869	6.6145
AT2G45350	-3.9173	-5.4353	-5.3382	2.2218	2.3403	2.0207	-3.8524	-2.8242	-2.1693	1.3461	1.313	1.2257	-3.8202	-3.9549	-3.5383	1.8687	2.2132	1.8341	-2.1558	-3.5059	-3.4015	0.947	0.9129	0.6942
AT2G45360	1.7924	1.8221	1.5567	-3.4507	-2.5176	-5.1189	1.5284	1.9153	2.1446	-2.9019	-2.9349	-2.3831	3.1144	2.7033	2.5134	-0.5976	0.7185	0.4877	2.9643	2.7733	3.444	-4.4793	-1.8344	-4.6634
AT2G45380	6.0238	5.9139	5.4309	5.7612	5.8824	5.7005	4.9409	4.9144	4.9928	5.6768	5.5951	5.5976	5.5699	5.5836	5.3041	5.7572	5.8327	5.9722	5.0698	5.3132	5.1543	5.3896	5.5567	5.396
AT2G45400	5.4542	5.3154	5.3475	4.8966	4.6662	4.5375	5.7092	5.7462	5.3673	4.1606	4.2316	4.0796	4.6406	4.2033	4.4636	4.2708	4.1245	4.4747	5.0932	5.2896	4.8417	4.3568	3.9545	4.1472
AT2G45410	0.1702	-0.5774	-0.1287	-5.0356	-2.5176	-2.3115	-0.3081	-0.3462	-0.9469	-4.4868	-4.5199	-4.705	-1.9458	-1.0163	-1.0358	-4.8455	-3.4779	-4.6416	-1.2383	-1.3904	-0.3426	-4.4793	-4.6417	-4.6634
AT2G45420	1.5531	0.9045	1.3761	-5.0356	-1.1391	-1.212	0.9377	1.0549	0.7693	-4.4868	-4.5199	-1.2456	1.6282	1.4488	1.3846	-2.5236	-1.893	-3.0567	1.0836	0.7918	1.3173	-2.8943	-3.0567	-2.3415
AT2G45430	6.5655	6.495	6.7283	-3.4507	-3.2546	-5.1189	6.7687	6.7296	6.7452	-2.9019	-2.9349	-2.3831	6.6409	6.6191	6.7005	-2.0382	-3.4779	-3.0567	6.8858	6.7519	6.8413	-1.0198	-2.3198	-4.6634
AT2G45440	5.1189	5.0515	5.2345	5.6001	5.4072	5.5402	5.2217	5.2999	5.2837	5.5752	5.4983	5.6667	5.1407	5.0591	5.1817	5.3821	5.4498	5.4682	5.149	5.2479	5.1922	5.6462	5.7517	5.9522
AT2G45450	2.2051	1.931	1.6731	3.1591	3.8222	3.7545	1.4815	1.8196	1.8799	3.6165	3.665	3.2665	2.1262	2.1949	1.932	3.2259	3.3676	3.6667	0.5071	1.2842	0.6859	2.9045	2.7761	2.5558
AT2G45460	3.6752	3.7017	3.8141	3.8067	3.7934	3.8029	3.4963	3.49	3.7456	4.0406	3.9436	4.1436	3.8308	3.9175	3.9616	3.906	3.7668	4.0202	3.801	3.8487	3.7516	4.0482	4.0896	4.0405
AT2G45470	5.97	6.4215	6.418	8.9753	8.6014	8.4802	6.546	6.2892	6.6498	8.7213	8.7067	8.7106	6.8683	6.8602	7.0938	8.6339	8.0477	8.3684	7.6129	7.3851	7.5427	9.3991	8.9939	9.2569
AT2G45480	0.8376	0.6308	0.2164	1.5342	0.518	1.2561	0.6712	1.0549	0.9645	1.5355	1.9879	1.7043	0.5721	0.4374	0.8075	0.5807	1.5953	0.7159	1.0493	1.138	1.0359	0.65	0.8501	1.6034
AT2G45490	2.2857	1.9134	1.9928	0.7457	0.4458	-0.1647	2.5226	2.7478	2.6438	0.2681	1.5025	1.2722	1.2242	1.537	1.4159	0.2838	-0.308	-0.1181	1.5691	2.0891	1.956	-1.0198	0.5677	0.7629
AT2G45500	4.2103	4.1922	3.9216	3.2544	3.6483	3.5429	3.8823	3.6926	3.6804	3.563	3.5729	3.3557	3.8963	3.7293	3.6148	3.7507	3.8589	3.9841	3.2403	3.5851	3.4101	3.5376	3.3862	3.331
AT2G45510	6.0071	6.1004	5.8683	3.619	3.7416	3.3446	5.6077	5.7309	5.5133	3.2205	3.3688	3.1467	5.644	5.7588	5.5987	4.1058	3.9678	4.4379	5.5607	5.5539	5.5302	2.8336	3.3972	2.5165
AT2G45520	4.4563	4.3672	4.2524	4.8083	4.5506	4.6739	4.3325	4.3838	4.349	4.7776	4.7586	4.5357	4.1203	4.1201	4.2365	4.818	4.6496	4.7528	4.4375	4.5109	4.3377	4.7663	4.7698	4.7396
AT2G45530	3.6851	3.6008	3.5353	4.6136	4.2663	4.371	3.5197	3.5607	3.5031	4.3043	4.0538	4.0058	3.9054	3.9857	3.8683	4.1174	4.0995	3.9091	3.4523	3.5275	3.4852	3.9344	3.909	4.2223
AT2G45540	7.9447	7.9339	8.0079	7.3543	7.438	7.4311	8.0142	8.002	7.8633	7.5729	7.6616	7.8065	7.9511	8.0426	7.9779	7.5779	7.4009	7.6354	8.0388	7.9835	8.0821	7.7825	7.7276	7.4835
AT2G45550	3.5612	3.4625	3.8541	-5.0356	-3.2546	-5.1189	4.6408	4.4224	4.3733	-4.4868	-4.5199	-4.705	2.2314	2.0968	2.0163	-4.8455	-5.0629	-4.6416	3.3502	3.2534	3.2083	-4.4793	-4.6417	-4.6634
AT2G45560	0.3307	0.8315	0.3343	6.3775	6.403	6.3359	0.4934	-0.077	0.2153	6.5139	6.309	6.3936	2.157	2.373	1.932	6.3175	6.2505	6.3506	2.2963	1.5674	2.0247	6.4463	6.5622	6.584
AT2G45570	-3.9173	-5.4353	-5.3382	-2.7137	-2.0322	-5.1189	-2.2674	-4.0466	-2.1693	-4.4868	-1.0605	-2.3831	-1.0129	-0.896	-3.5383	0.1087	1.1659	0.1133	-5.3258	-5.0909	-4.9865	-4.4793	-1.4718	-0.7565
AT2G45590	4.5786	4.4701	4.7103	5.8432	5.8408	5.7179	4.7338	4.6527	4.6077	6.0802	5.9569	6.0523	4.6595	4.7787	4.9629	5.8064	5.8144	5.6004	4.9115	4.8354	4.9457	5.7118	5.8167	6.156
AT2G45600	-3.1803	-1.9759	-2.1682	2.6297	2.8539	2.682	-2.63	-4.0466	-2.5319	3.3397	3.519	3.4897	-5.4052	-2.3699	-1.4228	2.7167	2.7509	2.558	-1.8663	-3.5059	-3.4015	3.0982	3.1065	2.9587
AT2G45620	6.619	6.7318	6.8722	6.4315	6.3459	6.4352	6.5259	6.5462	6.5346	6.2706	6.3937	6.4879	7.0302	7.2194	7.0382	6.6062	6.3743	6.4372	6.9296	6.8321	6.8373	6.3013	6.2883	6.2062
AT2G45630	1.7924	2.4655	1.9565	3.7555	3.6321	3.5711	1.82	1.2873	1.2901	3.3141	3.53	3.0297	2.7292	2.8308	2.8483	3.9968	3.9567	3.9841	1.8739	2.0281	1.9324	3.4691	3.1592	3.3755
AT2G45640	5.1134	4.9538	5.0933	5.1179	5.0537	5.1326	5.2587	5.3677	5.1989	5.1552	5.0481	4.9514	4.8581	4.7696	4.9576	5.0171	4.9272	5.1082	4.8278	4.8502	4.9159	5.0066	5.1608	5.2024
AT2G45660	2.9366	3.4381	3.0061	4.3065	4.7015	4.8965	3.0665	3.2295	3.3154	4.9033	4.7998	4.8967	3.5692	3.3458	3.635	4.9921	5.2869	5.2023	3.0185	2.6165	2.8273	4.6475	4.7092	5.0526
AT2G45670	6.7666	6.9849	6.7045	7.1202	7.0811	7.0324	6.8775	6.7246	6.849	6.839	6.8216	6.8832	7.4765	7.5335	7.3553	7.2449	6.9716	7.1758	7.1452	7.0781	7.1515	6.9704	6.8203	6.6781
AT2G45680	4.0233	4.0941	4.2107	5.3274	4.6178	4.4144	3.9614	3.6376	3.9623	3.9012	3.5834	4.1183	4.4419	4.7164	4.6825	4.957	4.9746	4.7225	3.6601	3.7133	3.6022	4.2316	4.4271	4.3783
AT2G45685	0.1702	-1.1874	0.0881	0.4562	-1.1391	-0.5953	-1.5305	-1.5441	-0.1298	-2.1649	-2.9349	-1.8977	-0.5472	0.0147	-0.169	0.2838	-0.308	0.2164	-0.8022	-0.5673	-1.0796	-0.0869	-0.9413	-0.0195
AT2G45690	3.6901	3.6965	3.466	4.3717	4.2505	4.0881	3.3987	3.308	3.2644	3.9603	3.9997	3.8067	3.4309	3.358	3.4878	4.0093	4.3945	4.207	3.2853	3.5349	3.4101	3.9344	3.9243	4.1472
AT2G45695	2.7692	2.4164	2.0627	2.1039	2.2157	2.5606	2.3242	2.1563	2.4873	2.8078	2.5781	2.1404	2.343	2.2994	2.2776	2.3736	2.9869	2.7593	2.409	2.5016	2.2896	2.9386	2.9949	2.9732
AT2G45700	5.106	4.9602	5.1587	5.2919	5.2624	5.3105	5.0891	5.0364	5.0818	5.1186	5.3885	5.2907	5.1504	5.2075	5.1187	5.1246	5.0521	5.1512	4.9281	4.9301	4.9189	5.1038	5.1959	5.3125
AT2G45710	3.7145	3.4865	3.5291	3.5974	3.3747	3.4995	3.7401	3.6926	3.9252	3.9848	3.7233	3.8911	3.4987	3.3274	3.7316	3.7802	3.792	3.7027	4.0384	3.9671	4.005	4.1825	4.076	4.3946
AT2G45720	5.2418	5.3087	5.2627	4.0911	3.8917	4.0783	4.6699	4.5169	4.6337	3.7275	3.842	3.7337	5.2251	5.458	5.3269	4.207	4.2109	4.238	5.1968	5.0602	5.2095	3.6756	3.7719	3.5606
AT2G45730	4.8118	4.8627	4.848	4.9826	5.1103	4.9752	4.8879	5.0955	4.9973	5.1838	5.1294	5.1039	4.7407	4.4784	4.6565	5.0202	5.0547	5.1833	4.7867	5.0371	4.9457	5.1446	5.0639	5.2116
AT2G45740	2.0902	2.0159	1.6953	7.1977	7.4933	7.4799	0.9025	0.2992	0.7693	6.8702	6.8426	6.8082	3.5692	3.2578	3.1389	7.2087	7.2554	7.2754	2.0921	1.7036	2.0903	6.8898	6.8794	7.1314
AT2G45750	5.1244	5.3776	5.1726	0.7457	1.3102	0.3074	5.4073	5.0132	4.8493	1.2411	0.9064	1.1776	4.9535	5.0253	5.0099	0.9358	0.5518	1.2891	5.5283	5.0977	5.207	0.8783	0.973	-0.2711
AT2G45760	1.9976	2.0485	1.2618	-3.4507	-4.8396	-5.1189	2.2974	1.4665	1.8003	-4.4868	-2.198	-1.8977	1.606	1.878	1.8654	-1.1451	-1.6035	0.2164	1.2742	0.9315	0.7414	-4.4793	-3.0567	-1.4935
AT2G45770	3.3338	3.2264	3.3658	5.6982	5.7274	5.7195	3.626	3.6836	3.3367	6.0357	5.9095	6.0983	3.0169	3.0489	3.1199	5.5543	5.6676	5.476	2.9917	2.9913	2.6788	5.9375	5.9119	5.9993
AT2G45790	5.7569	5.6193	5.7473	5.6846	5.7274	5.7522	6.1282	6.1002	5.9889	6	5.9909	5.9307	5.5941	5.2763	5.4438	5.8627	5.6845	6.0013	5.7925	5.8317	5.7389	6.0276	5.9976	6.0873
AT2G45800	-5.5022	-3.8504	-5.3382	1.2682	1.1377	0.714	-5.4374	-4.0466	-3.0173	0.7986	0.3381	0.5044	-5.4052	-5.5398	-5.1232	0.512	0.5518	0.913	-5.3258	-3.5059	-3.4015	0.65	0.2163	0.5461
AT2G45810	5.9003	5.9106	6.1022	6.529	6.5544	6.5707	6.0226	6.0882	6.0949	6.8702	6.874	6.9607	6.0527	6.1018	6.0157	6.4207	6.4493	6.4793	5.9637	5.9336	5.8846	6.7538	6.635	6.6625
AT2G45820	7.3391	7.5719	7.2095	7.4838	7.3382	7.4224	6.5136	6.566	6.8013	7.3185	7.3485	7.2939	7.7041	7.8957	7.6019	7.3353	7.3382	7.3481	7.2382	7.2861	7.2641	7.3892	7.3107	7.4337
AT2G45830	4.863	4.8581	4.6856	2.5266	2.1717	2.3968	4.2648	4.1283	4.2401	1.6629	1.7469	2.1404	5.1095	5.0099	4.6953	2.6057	2.3208	2.4564	4.1801	4.458	4.1089	2.0599	2.0725	2.0781
AT2G45850	-1.4148	-0.4811	-0.2938	4.5919	4.5592	4.5411	-1.3499	-0.5872	-0.4813	4.8192	4.9859	5.0615	0.7446	0.8352	0.7594	4.6917	4.6358	4.5654	0.0318	0.742	0.2989	4.7031	4.8441	4.8345
AT2G45860	2.5257	2.2858	1.9928	1.9756	2.455	2.5746	1.6816	2.5131	2.4487	2.8078	2.811	2.6259	2.2021	1.9915	1.9102	2.4119	3.122	2.3918	2.2365	2.5602	2.4314	2.7007	3.0236	3.1504
AT2G45870	2.1631	2.1116	1.9192	2.3131	1.7303	1.8698	2.511	2.573	2.3819	2.3835	1.9558	1.8028	1.6501	2.0822	2.2946	1.3833	1.5665	1.0863	2.3816	2.2929	2.2327	1.9301	1.6981	1.4451
AT2G45880	4.4534	4.5491	4.5307	4.7957	4.7843	4.5123	4.2119	4.3212	4.4697	4.3989	4.4488	4.502	4.6783	4.6512	4.6233	4.4189	4.4782	4.3097	4.2192	4.2333	4.1959	4.161	4.389	4.3783
AT2G45890	3.3651	3.8244	3.1893	1.1542	1.3892	1.221	3.3007	3.1267	3.2791	1.8882	1.5025	1.3173	3.5806	3.4797	3.5385	1.0852	0.9144	1.2891	4.148	3.7578	3.8746	1.6705	1.0307	1.0645
AT2G45900	1.2922	1.2789	1.2618	2.3822	2.2794	2.1195	1.192	1.4665	0.8105	2.5019	1.5886	2.1404	0.8986	1.6401	1.4159	1.6623	2.338	1.4245	1.0836	1.0177	1.8079	2.235	2.1527	2.3253
AT2G45910	6.3861	6.4446	6.4387	5.6217	5.6044	5.4912	6.1235	6.0378	6.1094	5.4454	5.2923	5.2964	6.4976	6.6348	6.385	5.5902	5.4733	5.6656	6.0757	5.9665	6.0843	5.3168	5.3793	4.794
AT2G45920	6.8149	6.7147	6.4672	4.2194	4.2292	4.0832	5.7592	5.6999	5.9211	3.6269	3.6847	3.255	5.8692	5.7484	5.6089	3.9127	3.8044	3.8462	5.2825	5.3798	5.2978	3.3216	3.1848	3.5412
AT2G45930	0.2791	0.587	0.0881	0.4562	-1.3801	0.1665	0.0545	-0.274	-0.385	-0.5799	-0.8195	-0.1815	1.4652	1.6401	1.2166	0.6463	-0.1087	1.1913	0.5071	1.2129	1.1633	-1.0198	-0.2494	-1.2039
AT2G45940	-1.8018	-0.1499	-0.4802	-0.9482	-1.6697	-2.3115	-1.7369	-2.8242	-1.6388	-2.1649	-2.9349	-1.8977	0.0867	0.8	-0.169	-2.0382	-2.2555	-0.1181	0.4022	0.1186	-0.5942	-0.3918	-1.8344	-0.9629
AT2G45950	3.7433	3.7717	3.7572	5.4207	5.4857	5.3021	3.3668	3.3712	3.7295	4.8463	5.0017	5.0006	3.8871	3.8067	3.6283	5.3381	5.3154	5.1705	3.4123	3.4828	3.3667	4.9023	5.1446	5.1327
AT2G45960	10.4293	10.5253	10.3162	10.5921	10.4506	10.4217	10.4966	10.0484	10.2166	10.1994	10.1733	10.1928	10.6475	10.9957	10.7961	10.5632	10.5629	10.2855	10.249	9.8776	10.0187	10.1659	10.0021	10.1038
AT2G45970	5.0379	4.9751	5.1825	5.875	5.7293	5.7116	4.7757	4.7138	4.7654	6.0649	6.1231	6.2116	5.0491	5.1753	5.3555	5.2433	5.5655	5.3024	5.5653	5.2095	5.2242	6.2563	6.203	6.3912
AT2G45980	5.6595	5.7965	5.444	5.7645	5.5409	5.5859	5.3724	5.3719	5.3776	5.6282	5.6513	5.8293	6.0639	6.1383	5.8845	5.8627	5.8082	5.8472	5.4333	5.2209	5.3633	5.5473	5.4863	5.4412
AT2G45990	4.706	4.605	4.4546	6.0853	6.3146	6.2921	4.3554	4.327	4.4039	6.3626	6.2475	6.2426	4.5649	4.6035	4.5755	6.3061	6.4305	6.3435	4.4005	4.4386	4.5546	6.0667	6.3377	6.4768
